origin,destination,time,distance
Albany,Albany,0.0,0.0
Albany,Avondale,1249.0,26.862
Albany,Balmoral,1243.0,24.671
Albany,Beachhaven/Birkdale,877.0,13.707
Albany,Blockhouse Bay/New Windsor,1433.0,28.855
Albany,Botony Downs,1837.0,38.632
Albany,Browns Bay,261.0,3.177
Albany,Bucklands Beach,1837.0,38.676
Albany,Central East,962.0,19.151
Albany,Central West,852.0,18.408
Albany,Chatswood/Birkenhead/Northcote Point,717.0,15.468
Albany,Dannemora,1787.0,38.372
Albany,Devonport,909.0,16.731
Albany,East Coast Bays,605.0,9.276
Albany,Eden Terrace,1102.0,22.997
Albany,Ellerslie,1187.0,26.956
Albany,Epsom,1079.0,22.835
Albany,Glen Eden,1560.0,30.518
Albany,Glen Innes/Pt England/Wai O Taiki,1480.0,30.874
Albany,Glendene,1322.0,28.241
Albany,Glendhu/Glenfield,646.0,10.947
Albany,Greenhithe/Unsworth Heights,359.0,7.76
Albany,Grey Lynn/Arch Hill,961.0,18.752
Albany,Gulf Harbour,1858.0,31.612
Albany,Half Moon Bay/Farm Cove,1571.0,35.141
Albany,Henderson,1301.0,26.157
Albany,Herne Bay/St Marys,724.0,16.886
Albany,Highland Park,1659.0,36.578
Albany,Hillcrest/Northcote,655.0,11.593
Albany,Hillsborough,1449.0,27.35
Albany,Howick,1853.0,39.504
Albany,Kelston,1552.0,31.023
Albany,Kingsland,1193.0,21.428
Albany,Kohimarama,1508.0,28.94
Albany,Lynfield,1550.0,28.976
Albany,Mangere,1748.0,33.49
Albany,Mangere Bridge/Airport,1627.0,32.386
Albany,Mangere East,1718.0,35.345
Albany,Manukau Central,1648.0,39.106
Albany,Manukau Heights and Manurewa Heights,1698.0,40.577
Albany,Manurewa North,1884.0,44.311
Albany,Maraetai/Clevedon,2388.0,50.898
Albany,Massey/Royal Heights,983.0,20.693
Albany,Meadowbank,1310.0,27.552
Albany,Mission Bay/Orakei,1400.0,27.163
Albany,Mt Albert/Owairaka,1214.0,24.925
Albany,Mt Eden,1147.0,23.366
Albany,Mt Roskill/Wesley,1418.0,27.412
Albany,Mt Wellington,1293.0,28.4
Albany,Mt Wellington North,1274.0,28.452
Albany,New Lynn,1440.0,29.313
Albany,Newmarket,1002.0,21.611
Albany,Newton/Grafton,1050.0,22.709
Albany,North Harbour/Pine Hill,226.0,3.927
Albany,Onehunga/Oranga/Te Papapa,1373.0,27.814
Albany,Orewa/Whangaparaoa,,
Albany,Otahuhu,1391.0,32.922
Albany,Otara,1589.0,36.984
Albany,Pakuranga,1412.0,32.724
Albany,Panmure,1423.0,30.337
Albany,Papakura/Drury/Karaka,2106.0,50.821
Albany,Papatoetoe North,1515.0,36.093
Albany,Papatoetoe South,1594.0,36.858
Albany,Papatoetoe West,1728.0,38.662
Albany,Parnell,1039.0,22.783
Albany,Penrose/Mt Wellington South,1242.0,29.292
Albany,Ponsonby/Freemans Bay,795.0,17.466
Albany,Pt Chevalier,992.0,21.15
Albany,Pukekohe/Tuakau,2803.0,68.858
Albany,Ranui,1198.0,25.253
Albany,Remuera,1081.0,24.201
Albany,Remuera South/Meadowbank South,1222.0,26.566
Albany,Rewiti/Kumeu/Riverhead,1124.0,19.399
Albany,Rothesay/Murrays/Mairangi Bays,407.0,5.733
Albany,Royal Oak/One Tree Hill,1380.0,25.596
Albany,Rural Franklin,2788.0,68.93
Albany,St Helliers/Glendowie,1595.0,31.388
Albany,St Johns,1339.0,28.724
Albany,St Lukes/Sandringham,1216.0,24.716
Albany,Sunnynook/Westlake,437.0,8.693
Albany,Takanini/Ardmore,2006.0,47.313
