origin,destination,time,distance
Albany,Albany,0.0,0.0
Albany,Avondale,4778.0,30.902
Albany,Balmoral,5616.0,36.069
Albany,Beachhaven/Birkdale,1975.0,12.63
Albany,Blockhouse Bay/New Windsor,5222.0,33.881
Albany,Botony Downs,,
Albany,Browns Bay,457.0,3.177
Albany,Bucklands Beach,8124.0,53.652
Albany,Central East,5915.0,37.282
Albany,Central West,5843.0,37.03
Albany,Chatswood/Birkenhead/Northcote Point,2095.0,13.233
Albany,Dannemora,,
Albany,Devonport,2525.0,17.502
Albany,East Coast Bays,1339.0,9.085
Albany,Eden Terrace,5593.0,35.435
Albany,Ellerslie,6499.0,41.928
Albany,Epsom,5905.0,37.691
Albany,Glen Eden,4629.0,30.027
Albany,Glen Innes/Pt England/Wai O Taiki,7792.0,49.541
Albany,Glendene,4391.0,28.078
Albany,Glendhu/Glenfield,1573.0,10.07
Albany,Greenhithe/Unsworth Heights,1230.0,7.752
Albany,Grey Lynn/Arch Hill,5300.0,33.776
Albany,Gulf Harbour,5573.0,36.641
Albany,Half Moon Bay/Farm Cove,7606.0,50.041
Albany,Henderson,3920.0,25.283
Albany,Herne Bay/St Marys,5498.0,35.19
Albany,Highland Park,7832.0,51.554
Albany,Hillcrest/Northcote,1842.0,11.884
Albany,Hillsborough,5904.0,37.85
Albany,Howick,8238.0,54.144
Albany,Kelston,4708.0,30.233
Albany,Kingsland,5365.0,34.041
Albany,Kohimarama,7363.0,46.494
Albany,Lynfield,5769.0,37.23
Albany,Mangere,7131.0,46.229
Albany,Mangere Bridge/Airport,6865.0,44.516
Albany,Mangere East,7470.0,48.565
Albany,Manukau Central,,
Albany,Manukau Heights and Manurewa Heights,,
Albany,Manurewa North,,
Albany,Maraetai/Clevedon,,
Albany,Massey/Royal Heights,3166.0,20.164
Albany,Meadowbank,6728.0,43.586
Albany,Mission Bay/Orakei,7052.0,44.394
Albany,Mt Albert/Owairaka,5067.0,32.146
Albany,Mt Eden,5542.0,35.169
Albany,Mt Roskill/Wesley,5556.0,35.677
Albany,Mt Wellington,6735.0,43.774
Albany,Mt Wellington North,6742.0,43.826
Albany,New Lynn,5105.0,33.038
Albany,Newmarket,6064.0,38.254
Albany,Newton/Grafton,5649.0,35.572
Albany,North Harbour/Pine Hill,546.0,3.392
Albany,Onehunga/Oranga/Te Papapa,6129.0,39.499
Albany,Orewa/Whangaparaoa,,
Albany,Otahuhu,7225.0,46.942
Albany,Otara,,
Albany,Pakuranga,7393.0,48.452
Albany,Panmure,7002.0,45.711
Albany,Papakura/Drury/Karaka,,
Albany,Papatoetoe North,,
Albany,Papatoetoe South,,
Albany,Papatoetoe West,7737.0,50.372
Albany,Parnell,6149.0,39.102
Albany,Penrose/Mt Wellington South,6952.0,45.183
Albany,Ponsonby/Freemans Bay,5502.0,35.197
Albany,Pt Chevalier,4830.0,30.844
Albany,Pukekohe/Tuakau,,
Albany,Ranui,3985.0,25.421
Albany,Remuera,6440.0,41.526
Albany,Remuera South/Meadowbank South,6644.0,42.633
Albany,Rewiti/Kumeu/Riverhead,3063.0,19.192
Albany,Rothesay/Murrays/Mairangi Bays,797.0,5.401
Albany,Royal Oak/One Tree Hill,6138.0,39.15
Albany,Rural Franklin,,
Albany,St Helliers/Glendowie,7621.0,48.117
Albany,St Johns,6965.0,44.791
Albany,St Lukes/Sandringham,5392.0,34.655
Albany,Sunnynook/Westlake,1299.0,8.862
Albany,Takanini/Ardmore,,
Albany,Takapuna,2018.0,13.744
Albany,Te Atatu,3829.0,24.356
Albany,Te Atatu Peninsula,4260.0,27.063
Albany,Three Kings,5528.0,35.492
Albany,Titirangi,5480.0,34.577
Albany,Torbay,564.0,3.857
Albany,Waiheke Island,10985.0,74.005
