orig,orig_name,dest,dest_name,duration,distance
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Couldry St, Eden Terrace, Auckland 1021, New Zealand",Eden Terrace,3013,28429
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Dunraven Pl, Torbay, Auckland 0630, New Zealand",Torbay,4633,50521
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"10-12 Westridge Rd, Titirangi, Auckland 0604, New Zealand",Titirangi,2948,32949
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"100 Eugenia Rise, Goodwood Heights, Auckland 2105, New Zealand",Manukau Heights and Manurewa Heights,784,7069
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"101 Waikopua Rd, Whitford, Auckland 2571, New Zealand",Maraetai/Clevedon,1943,25031
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"102-116 Church St, Otahuhu, Auckland 1062, New Zealand",Otahuhu,1754,16761
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"105 Victoria Ave, Remuera, Auckland 1050, New Zealand",Remuera,2905,27027
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"11 Bulwer St, Devonport, Auckland 0624, New Zealand",Devonport,4555,42470
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"13A Kesteven Ave, Glendowie, Auckland 1071, New Zealand",St Helliers/Glendowie,3101,27154
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"14-16 Kitchener Rd, Waiuku 2123, New Zealand",Waiuku,2172,39649
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"146a Forrest Hill Rd, Forrest Hill, Auckland 0620, New Zealand",Sunnynook/Westlake,4125,40946
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"147 Triangle Rd, Massey, Auckland 0614, New Zealand",Massey/Royal Heights,4093,43661
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"15 Rawene Rd, Birkenhead, Auckland 0626, New Zealand",Chatswood/Birkenhead/Northcote Point,4090,37240
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"15-17 Hamilton Rd, Herne Bay, Auckland 1011, New Zealand",Herne Bay/St Marys,3954,31781
