origin,destination,time,distance
Chatswood/Birkenhead/Northcote Point,Chatswood/Birkenhead/Northcote Point,,
Chatswood/Birkenhead/Northcote Point,Dannemora,,
Chatswood/Birkenhead/Northcote Point,Devonport,,
Chatswood/Birkenhead/Northcote Point,East Coast Bays,,
Chatswood/Birkenhead/Northcote Point,Eden Terrace,,
Dannemora,Chatswood/Birkenhead/Northcote Point,,
Dannemora,Dannemora,,
Dannemora,Devonport,,
Dannemora,East Coast Bays,,
Dannemora,Eden Terrace,,
Devonport,Chatswood/Birkenhead/Northcote Point,,
Devonport,Dannemora,,
Devonport,Devonport,,
Devonport,East Coast Bays,,
Devonport,Eden Terrace,,
East Coast Bays,Chatswood/Birkenhead/Northcote Point,,
East Coast Bays,Dannemora,,
East Coast Bays,Devonport,,
East Coast Bays,East Coast Bays,,
East Coast Bays,Eden Terrace,,
Eden Terrace,Chatswood/Birkenhead/Northcote Point,,
Eden Terrace,Dannemora,,
Eden Terrace,Devonport,,
Eden Terrace,East Coast Bays,,
Eden Terrace,Eden Terrace,,
