origin,destination,time,distance
Albany,Albany,0.0,0.0
Albany,Avondale,19269.0,28.841
Albany,Balmoral,16611.0,25.077
Albany,Beachhaven/Birkdale,8438.0,11.914
Albany,Blockhouse Bay/New Windsor,20089.0,29.993
Albany,Botony Downs,,
Albany,Browns Bay,1984.0,2.81
Albany,Bucklands Beach,,
Albany,Central East,12661.0,19.485
Albany,Central West,12863.0,19.782
Albany,Chatswood/Birkenhead/Northcote Point,8866.0,12.514
Albany,Dannemora,,
Albany,Devonport,11926.0,16.889
Albany,East Coast Bays,5956.0,8.435
Albany,Eden Terrace,13954.0,21.312
Albany,Ellerslie,18453.0,27.671
Albany,Epsom,16110.0,24.352
Albany,Glen Eden,20271.0,28.698
Albany,Glen Innes/Pt England/Wai O Taiki,19469.0,29.135
Albany,Glendene,18953.0,26.829
Albany,Glendhu/Glenfield,6474.0,9.131
Albany,Greenhithe/Unsworth Heights,5432.0,7.686
Albany,Grey Lynn/Arch Hill,14409.0,21.957
Albany,Gulf Harbour,20078.0,28.435
Albany,Half Moon Bay/Farm Cove,,
Albany,Henderson,17127.0,24.249
Albany,Herne Bay/St Marys,14183.0,21.649
Albany,Highland Park,,
Albany,Hillcrest/Northcote,7855.0,11.085
Albany,Hillsborough,18717.0,28.042
Albany,Howick,,
Albany,Kelston,20331.0,28.783
Albany,Kingsland,15238.0,23.133
Albany,Kohimarama,17851.0,26.844
Albany,Lynfield,19514.0,29.183
Albany,Mangere,,
Albany,Mangere Bridge/Airport,,
Albany,Mangere East,,
Albany,Manukau Central,,
Albany,Manukau Heights and Manurewa Heights,,
Albany,Manurewa North,,
Albany,Maraetai/Clevedon,,
Albany,Massey/Royal Heights,13673.0,19.358
Albany,Meadowbank,17181.0,25.898
Albany,Mission Bay/Orakei,16629.0,25.114
Albany,Mt Albert/Owairaka,17238.0,25.959
Albany,Mt Eden,15371.0,23.318
Albany,Mt Roskill/Wesley,17950.0,26.971
Albany,Mt Wellington,,
Albany,Mt Wellington North,,
Albany,New Lynn,20658.0,30.802
Albany,Newmarket,14897.0,22.634
Albany,Newton/Grafton,13659.0,20.89
Albany,North Harbour/Pine Hill,2440.0,3.455
Albany,Onehunga/Oranga/Te Papapa,,
Albany,Orewa/Whangaparaoa,,
Albany,Otahuhu,,
Albany,Otara,,
Albany,Pakuranga,,
Albany,Panmure,,
Albany,Papakura/Drury/Karaka,,
Albany,Papatoetoe North,,
Albany,Papatoetoe South,,
Albany,Papatoetoe West,,
Albany,Parnell,13821.0,21.138
Albany,Penrose/Mt Wellington South,,
Albany,Ponsonby/Freemans Bay,13945.0,21.312
Albany,Pt Chevalier,16985.0,25.618
Albany,Pukekohe/Tuakau,,
Albany,Ranui,16636.0,23.555
Albany,Remuera,16036.0,24.273
Albany,Remuera South/Meadowbank South,18220.0,27.368
Albany,Rewiti/Kumeu/Riverhead,13148.0,18.619
Albany,Rothesay/Murrays/Mairangi Bays,2937.0,4.16
Albany,Royal Oak/One Tree Hill,17892.0,26.874
Albany,Rural Franklin,,
Albany,St Helliers/Glendowie,19347.0,28.951
Albany,St Johns,18724.0,28.084
Albany,St Lukes/Sandringham,16454.0,24.853
Albany,Sunnynook/Westlake,5695.0,8.062
Albany,Takanini/Ardmore,,
Albany,Takapuna,9244.0,13.09
Albany,Te Atatu,16471.0,23.317
Albany,Te Atatu Peninsula,18159.0,25.7
Albany,Three Kings,17143.0,25.828
Albany,Titirangi,23289.0,32.972
Albany,Torbay,2604.0,3.685
Albany,Waiheke Island,,
Albany,Wairau Park/Glenfield North,5790.0,8.161
Albany,Waiuku,,
Albany,Waterview/Avondale Heights,18254.0,27.405
Albany,Wattle Downs/Conifer Grove,,
Albany,Wellsford/Warkworth/Helensville,,
Albany,West Harbour,10371.0,14.684
Albany,Western Beaches/Rural,21779.0,30.843
Albany,Western Springs/Morningside,15700.0,23.77
Albany,Westmere/Surrey Crescent,15251.0,23.16
Albany,Weymouth,,
Avondale,Albany,19269.0,28.841
Avondale,Avondale,0.0,0.0
Avondale,Balmoral,5050.0,7.146
Avondale,Beachhaven/Birkdale,13086.0,20.091
Avondale,Blockhouse Bay/New Windsor,2689.0,3.799
Avondale,Botony Downs,17639.0,24.972
Avondale,Browns Bay,18659.0,27.968
Avondale,Bucklands Beach,17962.0,25.426
Avondale,Central East,7024.0,9.933
Avondale,Central West,6490.0,9.183
Avondale,Chatswood/Birkenhead/Northcote Point,10583.0,16.547
Avondale,Dannemora,17971.0,25.428
Avondale,Devonport,15756.0,23.867
Avondale,East Coast Bays,14029.0,21.423
Avondale,Eden Terrace,5523.0,7.813
Avondale,Ellerslie,9454.0,13.374
Avondale,Epsom,6648.0,9.406
Avondale,Glen Eden,4589.0,6.498
Avondale,Glen Innes/Pt England/Wai O Taiki,13136.0,18.582
Avondale,Glendene,3802.0,5.386
Avondale,Glendhu/Glenfield,13376.0,20.503
Avondale,Greenhithe/Unsworth Heights,16047.0,24.271
Avondale,Grey Lynn/Arch Hill,5059.0,7.159
Avondale,Gulf Harbour,,
Avondale,Half Moon Bay/Farm Cove,15352.0,21.731
Avondale,Henderson,6259.0,8.86
Avondale,Herne Bay/St Marys,6081.0,8.603
Avondale,Highland Park,16446.0,23.278
Avondale,Hillcrest/Northcote,11509.0,17.856
Avondale,Hillsborough,5699.0,8.06
Avondale,Howick,18265.0,25.854
Avondale,Kelston,2694.0,3.814
Avondale,Kingsland,4568.0,6.462
Avondale,Kohimarama,11991.0,16.966
Avondale,Lynfield,3864.0,5.465
Avondale,Mangere,11494.0,16.269
Avondale,Mangere Bridge/Airport,10393.0,14.711
Avondale,Mangere East,13057.0,18.484
Avondale,Manukau Central,17366.0,24.567
Avondale,Manukau Heights and Manurewa Heights,19021.0,26.917
Avondale,Manurewa North,20417.0,28.893
Avondale,Maraetai/Clevedon,,
Avondale,Massey/Royal Heights,7375.0,10.437
Avondale,Meadowbank,10814.0,15.299
Avondale,Mission Bay/Orakei,10816.0,15.299
Avondale,Mt Albert/Owairaka,2470.0,3.497
Avondale,Mt Eden,5254.0,7.434
Avondale,Mt Roskill/Wesley,3733.0,5.281
Avondale,Mt Wellington,10914.0,15.441
Avondale,Mt Wellington North,10950.0,15.493
Avondale,New Lynn,1818.0,2.569
Avondale,Newmarket,7220.0,10.212
Avondale,Newton/Grafton,5963.0,8.433
Avondale,North Harbour/Pine Hill,17187.0,25.893
Avondale,Onehunga/Oranga/Te Papapa,7552.0,10.687
Avondale,Orewa/Whangaparaoa,,
Avondale,Otahuhu,12681.0,17.942
Avondale,Otara,16166.0,22.878
Avondale,Pakuranga,14201.0,20.099
Avondale,Panmure,12226.0,17.295
Avondale,Papakura/Drury/Karaka,25155.0,35.6
Avondale,Papatoetoe North,14852.0,21.02
Avondale,Papatoetoe South,15736.0,22.272
Avondale,Papatoetoe West,14522.0,20.557
Avondale,Parnell,7961.0,11.258
Avondale,Penrose/Mt Wellington South,11576.0,16.384
Avondale,Ponsonby/Freemans Bay,5781.0,8.187
Avondale,Pt Chevalier,3098.0,4.386
Avondale,Pukekohe/Tuakau,,
Avondale,Ranui,8204.0,11.614
Avondale,Remuera,8803.0,12.455
Avondale,Remuera South/Meadowbank South,10160.0,14.369
Avondale,Rewiti/Kumeu/Riverhead,15600.0,22.086
Avondale,Rothesay/Murrays/Mairangi Bays,17365.0,26.147
Avondale,Royal Oak/One Tree Hill,7118.0,10.065
Avondale,Rural Franklin,,
Avondale,St Helliers/Glendowie,13570.0,19.201
Avondale,St Johns,11657.0,16.489
Avondale,St Lukes/Sandringham,4134.0,5.85
Avondale,Sunnynook/Westlake,13886.0,21.219
Avondale,Takanini/Ardmore,23530.0,33.295
Avondale,Takapuna,13074.0,20.068
Avondale,Te Atatu,5213.0,7.384
Avondale,Te Atatu Peninsula,6274.0,8.878
Avondale,Three Kings,4671.0,6.615
Avondale,Titirangi,5042.0,7.137
Avondale,Torbay,20567.0,30.676
Avondale,Waiheke Island,22502.0,45.548
Avondale,Wairau Park/Glenfield North,13872.0,21.196
Avondale,Waiuku,,
Avondale,Waterview/Avondale Heights,1015.0,1.436
Avondale,Wattle Downs/Conifer Grove,21642.0,30.618
Avondale,Wellsford/Warkworth/Helensville,,
Avondale,West Harbour,10575.0,14.969
Avondale,Western Beaches/Rural,11519.0,16.312
Avondale,Western Springs/Morningside,3840.0,5.431
Avondale,Westmere/Surrey Crescent,4466.0,6.321
Avondale,Weymouth,19951.0,28.226
Balmoral,Albany,16613.0,25.078
Balmoral,Avondale,5050.0,7.146
Balmoral,Balmoral,0.0,0.0
Balmoral,Beachhaven/Birkdale,10429.0,16.327
Balmoral,Blockhouse Bay/New Windsor,5004.0,7.083
Balmoral,Botony Downs,12953.0,18.342
Balmoral,Browns Bay,15922.0,24.099
Balmoral,Bucklands Beach,13276.0,18.796
Balmoral,Central East,4290.0,6.068
Balmoral,Central West,3999.0,5.654
Balmoral,Chatswood/Birkenhead/Northcote Point,7927.0,12.783
Balmoral,Dannemora,13285.0,18.798
Balmoral,Devonport,13100.0,20.103
Balmoral,East Coast Bays,11373.0,17.659
Balmoral,Eden Terrace,2759.0,3.905
Balmoral,Ellerslie,4712.0,6.669
Balmoral,Epsom,1952.0,2.766
Balmoral,Glen Eden,8952.0,12.668
Balmoral,Glen Innes/Pt England/Wai O Taiki,8390.0,11.871
Balmoral,Glendene,8353.0,11.821
Balmoral,Glendhu/Glenfield,10720.0,16.738
Balmoral,Greenhithe/Unsworth Heights,13341.0,20.448
Balmoral,Grey Lynn/Arch Hill,3334.0,4.718
Balmoral,Gulf Harbour,,
Balmoral,Half Moon Bay/Farm Cove,10665.0,15.101
Balmoral,Henderson,10638.0,15.052
Balmoral,Herne Bay/St Marys,4729.0,6.683
Balmoral,Highland Park,11760.0,16.648
Balmoral,Hillcrest/Northcote,8852.0,14.092
Balmoral,Hillsborough,2670.0,3.78
Balmoral,Howick,13579.0,19.224
Balmoral,Kelston,7057.0,9.984
Balmoral,Kingsland,2403.0,3.404
Balmoral,Kohimarama,8163.0,11.554
Balmoral,Lynfield,3702.0,5.241
Balmoral,Mangere,8051.0,11.387
Balmoral,Mangere Bridge/Airport,7031.0,9.941
Balmoral,Mangere East,9636.0,13.632
Balmoral,Manukau Central,13264.0,18.764
Balmoral,Manukau Heights and Manurewa Heights,14919.0,21.114
Balmoral,Manurewa North,16314.0,23.09
Balmoral,Maraetai/Clevedon,21738.0,30.782
Balmoral,Massey/Royal Heights,11064.0,15.642
Balmoral,Meadowbank,6073.0,8.594
Balmoral,Mission Bay/Orakei,6935.0,9.816
Balmoral,Mt Albert/Owairaka,2832.0,4.011
Balmoral,Mt Eden,1800.0,2.55
Balmoral,Mt Roskill/Wesley,2138.0,3.029
Balmoral,Mt Wellington,6168.0,8.73
Balmoral,Mt Wellington North,6205.0,8.782
Balmoral,New Lynn,5977.0,8.459
Balmoral,Newmarket,3213.0,4.545
Balmoral,Newton/Grafton,3199.0,4.525
Balmoral,North Harbour/Pine Hill,14531.0,22.129
Balmoral,Onehunga/Oranga/Te Papapa,3449.0,4.884
Balmoral,Orewa/Whangaparaoa,,
Balmoral,Otahuhu,8597.0,12.165
Balmoral,Otara,12064.0,17.075
Balmoral,Pakuranga,9521.0,13.478
Balmoral,Panmure,7485.0,10.59
Balmoral,Papakura/Drury/Karaka,21053.0,29.797
Balmoral,Papatoetoe North,10749.0,15.217
Balmoral,Papatoetoe South,11633.0,16.469
Balmoral,Papatoetoe West,11079.0,15.675
Balmoral,Parnell,4592.0,6.503
Balmoral,Penrose/Mt Wellington South,7218.0,10.216
Balmoral,Ponsonby/Freemans Bay,4132.0,5.84
Balmoral,Pt Chevalier,4542.0,6.422
Balmoral,Pukekohe/Tuakau,,
Balmoral,Ranui,11982.0,16.943
Balmoral,Remuera,4222.0,5.976
Balmoral,Remuera South/Meadowbank South,5419.0,7.664
Balmoral,Rewiti/Kumeu/Riverhead,19982.0,28.286
Balmoral,Rothesay/Murrays/Mairangi Bays,14709.0,22.383
Balmoral,Royal Oak/One Tree Hill,2603.0,3.687
Balmoral,Rural Franklin,,
Balmoral,St Helliers/Glendowie,8824.0,12.49
Balmoral,St Johns,6916.0,9.784
Balmoral,St Lukes/Sandringham,1249.0,1.762
Balmoral,Sunnynook/Westlake,11229.0,17.455
Balmoral,Takanini/Ardmore,19428.0,27.492
Balmoral,Takapuna,10418.0,16.304
Balmoral,Te Atatu,8903.0,12.589
Balmoral,Te Atatu Peninsula,9963.0,14.083
Balmoral,Three Kings,992.0,1.406
Balmoral,Titirangi,8876.0,12.571
Balmoral,Torbay,17911.0,26.912
Balmoral,Waiheke Island,17815.0,38.918
Balmoral,Wairau Park/Glenfield North,11215.0,17.432
Balmoral,Waiuku,,
Balmoral,Waterview/Avondale Heights,4193.0,5.935
Balmoral,Wattle Downs/Conifer Grove,18221.0,25.766
Balmoral,Wellsford/Warkworth/Helensville,,
Balmoral,West Harbour,14264.0,20.174
Balmoral,Western Beaches/Rural,15898.0,22.504
Balmoral,Western Springs/Morningside,2856.0,4.043
Balmoral,Westmere/Surrey Crescent,4233.0,5.977
Balmoral,Weymouth,16338.0,23.103
Beachhaven/Birkdale,Albany,8438.0,11.914
Beachhaven/Birkdale,Avondale,13086.0,20.091
Beachhaven/Birkdale,Balmoral,10427.0,16.327
Beachhaven/Birkdale,Beachhaven/Birkdale,0.0,0.0
Beachhaven/Birkdale,Blockhouse Bay/New Windsor,13906.0,21.243
Beachhaven/Birkdale,Botony Downs,20174.0,30.116
Beachhaven/Birkdale,Browns Bay,8751.0,12.396
Beachhaven/Birkdale,Bucklands Beach,20497.0,30.57
Beachhaven/Birkdale,Central East,6477.0,10.735
Beachhaven/Birkdale,Central West,6680.0,11.032
Beachhaven/Birkdale,Chatswood/Birkenhead/Northcote Point,2578.0,3.652
Beachhaven/Birkdale,Dannemora,20506.0,30.572
Beachhaven/Birkdale,Devonport,9132.0,12.929
Beachhaven/Birkdale,East Coast Bays,6203.0,8.787
Beachhaven/Birkdale,Eden Terrace,7771.0,12.562
Beachhaven/Birkdale,Ellerslie,12248.0,18.89
Beachhaven/Birkdale,Epsom,9949.0,15.633
Beachhaven/Birkdale,Glen Eden,17265.0,26.001
Beachhaven/Birkdale,Glen Innes/Pt England/Wai O Taiki,13286.0,20.385
Beachhaven/Birkdale,Glendene,16610.0,25.074
Beachhaven/Birkdale,Glendhu/Glenfield,2292.0,3.247
Beachhaven/Birkdale,Greenhithe/Unsworth Heights,5376.0,7.615
Beachhaven/Birkdale,Grey Lynn/Arch Hill,8226.0,13.207
Beachhaven/Birkdale,Gulf Harbour,,
Beachhaven/Birkdale,Half Moon Bay/Farm Cove,17886.0,26.875
Beachhaven/Birkdale,Henderson,17706.0,26.616
Beachhaven/Birkdale,Herne Bay/St Marys,8000.0,12.899
Beachhaven/Birkdale,Highland Park,18980.0,28.422
Beachhaven/Birkdale,Hillcrest/Northcote,3049.0,4.319
Beachhaven/Birkdale,Hillsborough,12534.0,19.292
Beachhaven/Birkdale,Howick,20800.0,30.998
Beachhaven/Birkdale,Kelston,15370.0,23.317
Beachhaven/Birkdale,Kingsland,9055.0,14.383
Beachhaven/Birkdale,Kohimarama,11668.0,18.094
Beachhaven/Birkdale,Lynfield,13331.0,20.433
Beachhaven/Birkdale,Mangere,17326.0,26.063
Beachhaven/Birkdale,Mangere Bridge/Airport,16306.0,24.617
Beachhaven/Birkdale,Mangere East,18009.0,27.043
Beachhaven/Birkdale,Manukau Central,20914.0,31.141
Beachhaven/Birkdale,Manukau Heights and Manurewa Heights,22569.0,33.491
Beachhaven/Birkdale,Manurewa North,23965.0,35.467
Beachhaven/Birkdale,Maraetai/Clevedon,,
Beachhaven/Birkdale,Massey/Royal Heights,14540.0,20.592
Beachhaven/Birkdale,Meadowbank,10998.0,17.148
Beachhaven/Birkdale,Mission Bay/Orakei,10446.0,16.364
Beachhaven/Birkdale,Mt Albert/Owairaka,11055.0,17.209
Beachhaven/Birkdale,Mt Eden,9188.0,14.568
Beachhaven/Birkdale,Mt Roskill/Wesley,11767.0,18.221
Beachhaven/Birkdale,Mt Wellington,13603.0,20.808
Beachhaven/Birkdale,Mt Wellington North,13498.0,20.659
Beachhaven/Birkdale,New Lynn,14475.0,22.052
Beachhaven/Birkdale,Newmarket,8714.0,13.884
Beachhaven/Birkdale,Newton/Grafton,7476.0,12.14
Beachhaven/Birkdale,North Harbour/Pine Hill,7145.0,10.121
Beachhaven/Birkdale,Onehunga/Oranga/Te Papapa,12724.0,19.56
Beachhaven/Birkdale,Orewa/Whangaparaoa,,
Beachhaven/Birkdale,Otahuhu,16229.0,24.516
Beachhaven/Birkdale,Otara,19714.0,29.452
Beachhaven/Birkdale,Pakuranga,16735.0,25.243
Beachhaven/Birkdale,Panmure,14706.0,22.364
Beachhaven/Birkdale,Papakura/Drury/Karaka,,
Beachhaven/Birkdale,Papatoetoe North,18400.0,27.594
Beachhaven/Birkdale,Papatoetoe South,19284.0,28.846
Beachhaven/Birkdale,Papatoetoe West,19664.0,29.387
Beachhaven/Birkdale,Parnell,7638.0,12.388
Beachhaven/Birkdale,Penrose/Mt Wellington South,14739.0,22.413
Beachhaven/Birkdale,Ponsonby/Freemans Bay,7762.0,12.562
Beachhaven/Birkdale,Pt Chevalier,10802.0,16.868
Beachhaven/Birkdale,Pukekohe/Tuakau,,
Beachhaven/Birkdale,Ranui,17290.0,24.487
Beachhaven/Birkdale,Remuera,9853.0,15.523
Beachhaven/Birkdale,Remuera South/Meadowbank South,12033.0,18.613
Beachhaven/Birkdale,Rewiti/Kumeu/Riverhead,17575.0,24.89
Beachhaven/Birkdale,Rothesay/Murrays/Mairangi Bays,7539.0,10.68
Beachhaven/Birkdale,Royal Oak/One Tree Hill,11709.0,18.124
Beachhaven/Birkdale,Rural Franklin,,
Beachhaven/Birkdale,St Helliers/Glendowie,13185.0,20.231
Beachhaven/Birkdale,St Johns,12558.0,19.353
Beachhaven/Birkdale,St Lukes/Sandringham,10270.0,16.103
Beachhaven/Birkdale,Sunnynook/Westlake,5405.0,7.654
Beachhaven/Birkdale,Takanini/Ardmore,27078.0,39.869
Beachhaven/Birkdale,Takapuna,6450.0,9.13
Beachhaven/Birkdale,Te Atatu,15382.0,23.337
Beachhaven/Birkdale,Te Atatu Peninsula,16442.0,24.831
Beachhaven/Birkdale,Three Kings,10960.0,17.078
Beachhaven/Birkdale,Titirangi,17699.0,26.62
Beachhaven/Birkdale,Torbay,10851.0,15.369
Beachhaven/Birkdale,Waiheke Island,25036.0,50.692
