orig_name,dest_name,card_fare
Albany,Avondale,6.1
Albany,Balmoral,6.1
Albany,Beachhaven/Birkdale,3.15
Albany,Blockhouse Bay/New Windsor,6.1
Albany,Botony Downs,7.5
Albany,Browns Bay,1.85
Albany,Bucklands Beach,7.5
Albany,Central East,4.85
Albany,Central West,4.85
Albany,Chatswood/Birkenhead/Northcote Point,3.15
Albany,Dannemora,7.5
Albany,Devonport,3.15
Albany,East Coast Bays,3.15
Albany,Eden Terrace,4.85
Albany,Ellerslie,6.1
Albany,Epsom,6.1
Albany,Glen Eden,7.5
Albany,Glen Innes/Pt England/Wai O Taiki,6.1
Albany,Glendene,7.5
Albany,Glendhu/Glenfield,3.15
Albany,Greenhithe/Unsworth Heights,1.85
Albany,Grey Lynn/Arch Hill,4.85
Albany,Gulf Harbour,3.15
Albany,Half Moon Bay/Farm Cove,7.5
Albany,Henderson,7.5
Albany,Herne Bay/St Marys,4.85
Albany,Highland Park,7.5
Albany,Hillcrest/Northcote,3.15
Albany,Hillsborough,6.1
Albany,Howick,7.5
Albany,Kelston,7.5
Albany,Kingsland,4.85
Albany,Kohimarama,6.1
Albany,Lynfield,6.1
Albany,Mangere,7.5
Albany,Mangere Bridge/Airport,7.5
Albany,Mangere East,7.5
Albany,Manukau Central,7.5
Albany,Manukau Heights and Manurewa Heights,8.8
Albany,Manurewa North,8.8
Albany,Maraetai/Clevedon,
Albany,Massey/Royal Heights,7.5
Albany,Meadowbank,6.1
Albany,Mission Bay/Orakei,6.1
Albany,Mt Albert/Owairaka,6.1
Albany,Mt Eden,6.1
Albany,Mt Roskill/Wesley,6.1
Albany,Mt Wellington,6.1
Albany,Mt Wellington North,6.1
Albany,New Lynn,6.1
Albany,Newmarket,4.85
Albany,Newton/Grafton,4.85
Albany,North Harbour/Pine Hill,1.85
Albany,Onehunga/Oranga/Te Papapa,6.1
Albany,Orewa/Whangaparaoa,
Albany,Otahuhu,6.1
Albany,Otara,7.5
Albany,Pakuranga,7.5
Albany,Panmure,6.1
Albany,Papakura/Drury/Karaka,8.8
Albany,Papatoetoe North,7.5
Albany,Papatoetoe South,7.5
Albany,Papatoetoe West,7.5
Albany,Parnell,4.85
Albany,Penrose/Mt Wellington South,6.1
Albany,Ponsonby/Freemans Bay,4.85
Albany,Pt Chevalier,6.1
Albany,Pukekohe/Tuakau,10.1
Albany,Ranui,3.15
Albany,Remuera,6.1
Albany,Remuera South/Meadowbank South,6.1
Albany,Rewiti/Kumeu/Riverhead,
Albany,Rothesay/Murrays/Mairangi Bays,1.85
Albany,Royal Oak/One Tree Hill,6.1
Albany,Rural Franklin,
Albany,St Helliers/Glendowie,6.1
Albany,St Johns,6.1
Albany,St Lukes/Sandringham,6.1
Albany,Sunnynook/Westlake,3.15
Albany,Takanini/Ardmore,8.8
Albany,Takapuna,3.15
Albany,Te Atatu,7.5
Albany,Te Atatu Peninsula,7.5
Albany,Three Kings,6.1
Albany,Titirangi,7.5
Albany,Torbay,1.85
Albany,Waiheke Island,24.7
Albany,Wairau Park/Glenfield North,3.15
Albany,Waiuku,10.1
Albany,Waterview/Avondale Heights,6.1
Albany,Wattle Downs/Conifer Grove,8.8
Albany,Wellsford/Warkworth/Helensville,
Albany,West Harbour,3.15
Albany,Western Beaches/Rural,
Albany,Western Springs/Morningside,6.1
Albany,Westmere/Surrey Crescent,6.1
Albany,Weymouth,8.8
Avondale,Albany,6.1
Avondale,Balmoral,1.85
Avondale,Beachhaven/Birkdale,4.85
Avondale,Blockhouse Bay/New Windsor,1.85
Avondale,Botony Downs,3.15
Avondale,Browns Bay,6.1
Avondale,Bucklands Beach,3.15
Avondale,Central East,3.15
Avondale,Central West,3.15
Avondale,Chatswood/Birkenhead/Northcote Point,4.85
Avondale,Dannemora,3.15
Avondale,Devonport,9.6
Avondale,East Coast Bays,4.85
