orig,orig_name,dest,dest_name,duration,distance
,Albany,,Albany,,
,Avondale,,Albany,,
,Balmoral,,Albany,,
,Beachhaven/Birkdale,,Albany,,
,Blockhouse Bay/New Windsor,,Albany,,
,Botony Downs,,Albany,,
,Browns Bay,,Albany,,
,Bucklands Beach,,Albany,,
,Central East,,Albany,,
,Central West,,Albany,,
,Chatswood/Birkenhead/Northcote Point,,Albany,,
,Dannemora,,Albany,,
,Devonport,,Albany,,
,East Coast Bays,,Albany,,
,Eden Terrace,,Albany,,
,Ellerslie,,Albany,,
,Epsom,,Albany,,
,Glen Eden,,Albany,,
,Glen Innes/Pt England/Wai O Taiki,,Albany,,
,Glendene,,Albany,,
,Glendhu/Glenfield,,Albany,,
,Greenhithe/Unsworth Heights,,Albany,,
,Grey Lynn/Arch Hill,,Albany,,
,Gulf Harbour,,Albany,,
,Half Moon Bay/Farm Cove,,Albany,,
,Henderson,,Albany,,
,Herne Bay/St Marys,,Albany,,
,Highland Park,,Albany,,
,Hillcrest/Northcote,,Albany,,
,Hillsborough,,Albany,,
,Howick,,Albany,,
,Kelston,,Albany,,
,Kingsland,,Albany,,
,Kohimarama,,Albany,,
,Lynfield,,Albany,,
,Mangere,,Albany,,
,Mangere Bridge/Airport,,Albany,,
,Mangere East,,Albany,,
,Manukau Central,,Albany,,
,Manukau Heights and Manurewa Heights,,Albany,,
,Manurewa North,,Albany,,
,Maraetai/Clevedon,,Albany,,
,Massey/Royal Heights,,Albany,,
,Meadowbank,,Albany,,
,Mission Bay/Orakei,,Albany,,
,Mt Albert/Owairaka,,Albany,,
,Mt Eden,,Albany,,
,Mt Roskill/Wesley,,Albany,,
,Mt Wellington,,Albany,,
,Mt Wellington North,,Albany,,
,New Lynn,,Albany,,
,Newmarket,,Albany,,
,Newton/Grafton,,Albany,,
,North Harbour/Pine Hill,,Albany,,
,Onehunga/Oranga/Te Papapa,,Albany,,
,Orewa/Whangaparaoa,,Albany,,
,Otahuhu,,Albany,,
,Otara,,Albany,,
,Pakuranga,,Albany,,
,Panmure,,Albany,,
,Papakura/Drury/Karaka,,Albany,,
,Papatoetoe North,,Albany,,
,Papatoetoe South,,Albany,,
,Papatoetoe West,,Albany,,
,Parnell,,Albany,,
,Penrose/Mt Wellington South,,Albany,,
,Ponsonby/Freemans Bay,,Albany,,
,Pt Chevalier,,Albany,,
,Pukekohe/Tuakau,,Albany,,
,Ranui,,Albany,,
,Remuera,,Albany,,
,Remuera South/Meadowbank South,,Albany,,
,Rewiti/Kumeu/Riverhead,,Albany,,
,Rothesay/Murrays/Mairangi Bays,,Albany,,
,Royal Oak/One Tree Hill,,Albany,,
,Rural Franklin,,Albany,,
,St Helliers/Glendowie,,Albany,,
,St Johns,,Albany,,
,St Lukes/Sandringham,,Albany,,
,Sunnynook/Westlake,,Albany,,
,Takanini/Ardmore,,Albany,,
,Takapuna,,Albany,,
,Te Atatu,,Albany,,
,Te Atatu Peninsula,,Albany,,
,Three Kings,,Albany,,
,Titirangi,,Albany,,
,Torbay,,Albany,,
,Waiheke Island,,Albany,,
,Wairau Park/Glenfield North,,Albany,,
,Waiuku,,Albany,,
,Waterview/Avondale Heights,,Albany,,
,Wattle Downs/Conifer Grove,,Albany,,
,Wellsford/Warkworth/Helensville,,Albany,,
,West Harbour,,Albany,,
,Western Beaches/Rural,,Albany,,
,Western Springs/Morningside,,Albany,,
,Westmere/Surrey Crescent,,Albany,,
,Weymouth,,Albany,,
,Albany,,Avondale,,
,Avondale,,Avondale,,
,Balmoral,,Avondale,,
,Beachhaven/Birkdale,,Avondale,,
,Blockhouse Bay/New Windsor,,Avondale,,
,Botony Downs,,Avondale,,
,Browns Bay,,Avondale,,
,Bucklands Beach,,Avondale,,
,Central East,,Avondale,,
,Central West,,Avondale,,
