orig,orig_name,dest,dest_name,duration,distance
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,3020,11893
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"124 Rothesay Rd, Parklands, Christchurch 8083, New Zealand",Styx/Parklands,2536,11387
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"130-154 Merivale Ln, Merivale, Christchurch 8014, New Zealand",Merivale/St Albans West,644,2496
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"149-159 Boys Rd, Waimakariri, Rangiora 7400, New Zealand",Rangiora/Kaiapoi,5814,30080
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"185 Cavendish Rd, Casebrook, Christchurch 8051, New Zealand",Sawyers Arms/Northcote/Belfast,2027,9379
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"218-220 Peterborough St, Christchurch Central, Christchurch 8013, New Zealand",Avon Loop/Christchurch East,435,1653
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"22-24 English St, Sockburn, Christchurch 8042, New Zealand",Sockburn/Upper Riccarton,1649,7140
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"246 Pages Rd, Wainoni, Christchurch 8062, New Zealand",Aranui/Bromley/Bexley,1536,6516
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"248 Ben Lomond Rd, Rotherham 7379, New Zealand",Kaikoura/Hurunui,23025,119635
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"25 Lilly Rd, Fernside 7475, New Zealand",Rural Waimakariri,6396,33200
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"26 Nepal Pl, Burnside, Christchurch 8053, New Zealand",Burnside/Harewood,1682,7693
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"267 Locksley Ave, Dallington, Christchurch 8061, New Zealand",Burwood/Dallington/Avondale,1377,6321
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"3 McLellan Pl, Ilam, Christchurch 8041, New Zealand",Ilam/Westburn,1536,6901
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"33a Maxwell St, Riccarton, Christchurch 8041, New Zealand",Riccarton,1031,4490
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"406-408 Yaldhurst Rd, Russley, Christchurch 8042, New Zealand",Avonhead/Yaldhurst,2106,9744
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"46 Roosevelt Ave, St Albans, Christchurch 8014, New Zealand",St Albans North/ Mairehau,798,3771
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"5 Jebson St, Mairehau, Christchurch 8013, New Zealand",Richmond/Shirley,1212,5034
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"5-11 Smarts Rd, Hornby, Christchurch 8042, New Zealand",Horby/Islington/Hei Hei,2513,11832
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"51-53 Hudson St, Bryndwr, Christchurch 8053, New Zealand",Bishopdale/Papanui,1338,5939
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"532A Hereford St, Linwood, Christchurch 8011, New Zealand",Linwood/Phillipstown,759,3122
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"535a Madras St, St Albans, Christchurch 8014, New Zealand",St Albans East/Edgeware,670,2799
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"55 Cowlishaw St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,947,3621
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"637-679 Hills Rd, Marshland, Christchurch 8051, New Zealand",Marshland/Redwood,1441,6801
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"9-11 Garreg Rd, Fendalton, Christchurch 8052, New Zealand",Fendalton/Strowan/Bryndwr,1156,5069
"101 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,"98 Beresford St, New Brighton, Christchurch 8061, New Zealand",North Beach/New Brighton/Southshore,2089,9875
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,33720,181918
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"120 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,2730,11872
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"124 Rothesay Rd, Parklands, Christchurch 8083, New Zealand",Styx/Parklands,3685,17406
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"130-154 Merivale Ln, Merivale, Christchurch 8014, New Zealand",Merivale/St Albans West,3181,13403
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"149-159 Boys Rd, Waimakariri, Rangiora 7400, New Zealand",Rangiora/Kaiapoi,7534,37901
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"185 Cavendish Rd, Casebrook, Christchurch 8051, New Zealand",Sawyers Arms/Northcote/Belfast,4545,21407
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"218-220 Peterborough St, Christchurch Central, Christchurch 8013, New Zealand",Avon Loop/Christchurch East,2602,11347
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"22-24 English St, Sockburn, Christchurch 8042, New Zealand",Sockburn/Upper Riccarton,4214,19236
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"224 Centaurus Rd, St Martins, Christchurch 8022, New Zealand",St Martins/Beckenham/Huntsbury,2289,9787
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"237 Rawles Crossing Rd, Greenstreet 7771, New Zealand",Ashburton,20203,106069
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"246 Pages Rd, Wainoni, Christchurch 8062, New Zealand",Aranui/Bromley/Bexley,2225,9700
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"248 Ben Lomond Rd, Rotherham 7379, New Zealand",Kaikoura/Hurunui,24745,127456
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"25 Lilly Rd, Fernside 7475, New Zealand",Rural Waimakariri,8116,41020
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"26 Nepal Pl, Burnside, Christchurch 8053, New Zealand",Burnside/Harewood,4250,18736
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"267 Locksley Ave, Dallington, Christchurch 8061, New Zealand",Burwood/Dallington/Avondale,2612,11792
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"3 McLellan Pl, Ilam, Christchurch 8041, New Zealand",Ilam/Westburn,4109,17875
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"31A Sugden St, Spreydon, Christchurch 8024, New Zealand",Spreydon/Somerfield,2921,13139
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"33a Maxwell St, Riccarton, Christchurch 8041, New Zealand",Riccarton,3604,15464
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"36 Mathers Rd, Hoon Hay, Christchurch 8025, New Zealand",Hillmorton/Hoon Hay,3456,15696
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"370 Moorland Settlement Rd, Hakataramea Valley 9498, New Zealand",MacKenzie/Waimate,54632,274974
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"406-408 Yaldhurst Rd, Russley, Christchurch 8042, New Zealand",Avonhead/Yaldhurst,4753,22061
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"451 Rattletrack Rd, Rolleston 7674, New Zealand",Banks Peninsula/Selwyn,7674,38450
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"46 Roosevelt Ave, St Albans, Christchurch 8014, New Zealand",St Albans North/ Mairehau,3144,14225
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"5 Jarrow Pl, Halswell, Christchurch 8025, New Zealand",Halswell/Wigram,4209,19551
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"5 Jebson St, Mairehau, Christchurch 8013, New Zealand",Richmond/Shirley,2797,12528
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"5-11 Smarts Rd, Hornby, Christchurch 8042, New Zealand",Horby/Islington/Hei Hei,4767,22159
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"51-53 Hudson St, Bryndwr, Christchurch 8053, New Zealand",Bishopdale/Papanui,3880,17019
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"532A Hereford St, Linwood, Christchurch 8011, New Zealand",Linwood/Phillipstown,2007,8940
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"535a Madras St, St Albans, Christchurch 8014, New Zealand",St Albans East/Edgeware,2771,12546
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"55 Cowlishaw St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,2263,10032
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"55 Valley Rd, Cashmere, Christchurch 8022, New Zealand",Westmorland/Cashmere/Barrington,3310,13643
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"62 Richardson Terrace, Woolston, Christchurch 8023, New Zealand",Woolston/Opawa,1690,7198
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"637-679 Hills Rd, Marshland, Christchurch 8051, New Zealand",Marshland/Redwood,3317,15397
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"7 Church Square, Addington, Christchurch 8024, New Zealand",Addington,3034,13586
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"9-11 Garreg Rd, Fendalton, Christchurch 8052, New Zealand",Fendalton/Strowan/Bryndwr,3724,16112
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"96-198 John Talbot Rd, Temuka 7985, New Zealand",Rural Timaru/Temuka/Geraldine,31441,169644
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"98 Beresford St, New Brighton, Christchurch 8061, New Zealand",North Beach/New Brighton/Southshore,2448,11608
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"9B Burlington St, Sydenham, Christchurch 8023, New Zealand",Sydenham/Waltham,2419,10831
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"Kininmont Rd, Incholme 9492, New Zealand",Waitaki,52744,287563
"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,32815,175616
"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,"120 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,30322,165097
"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,"124 Rothesay Rd, Parklands, Christchurch 8083, New Zealand",Styx/Parklands,32095,173896
"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,"130-154 Merivale Ln, Merivale, Christchurch 8014, New Zealand",Merivale/St Albans West,30518,166884
"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,"149-159 Boys Rd, Waimakariri, Rangiora 7400, New Zealand",Rangiora/Kaiapoi,34622,189243
