orig,orig_name,dest,dest_name,duration,distance
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,940,10145
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,8331,167585
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"124 Rothesay Rd, Parklands, Christchurch 8083, New Zealand",Styx/Parklands,1016,9865
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"130-154 Merivale Ln, Merivale, Christchurch 8014, New Zealand",Merivale/St Albans West,618,4205
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"149-159 Boys Rd, Waimakariri, Rangiora 7400, New Zealand",Rangiora/Kaiapoi,1812,29136
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"185 Cavendish Rd, Casebrook, Christchurch 8051, New Zealand",Sawyers Arms/Northcote/Belfast,1126,11141
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"218-220 Peterborough St, Christchurch Central, Christchurch 8013, New Zealand",Avon Loop/Christchurch East,381,2410
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"22-24 English St, Sockburn, Christchurch 8042, New Zealand",Sockburn/Upper Riccarton,1334,12522
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"227 Centaurus Rd, St Martins, Christchurch 8022, New Zealand",St Martins/Beckenham/Huntsbury,752,6213
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"237 Rawles Crossing Rd, Greenstreet 7771, New Zealand",Ashburton,5006,96576
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"246 Pages Rd, Wainoni, Christchurch 8062, New Zealand",Aranui/Bromley/Bexley,773,5374
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"248 Ben Lomond Rd, Rotherham 7379, New Zealand",Kaikoura/Hurunui,6096,118098
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"26 Nepal Pl, Burnside, Christchurch 8053, New Zealand",Burnside/Harewood,1216,9819
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"267 Locksley Ave, Dallington, Christchurch 8061, New Zealand",Burwood/Dallington/Avondale,593,4332
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"3 McLellan Pl, Ilam, Christchurch 8041, New Zealand",Ilam/Westburn,1202,9317
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"32 Sugden St, Spreydon, Christchurch 8024, New Zealand",Spreydon/Somerfield,928,7182
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"33a Maxwell St, Riccarton, Christchurch 8041, New Zealand",Riccarton,1113,8439
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"36 Mathers Rd, Hoon Hay, Christchurch 8025, New Zealand",Hillmorton/Hoon Hay,1132,9325
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"37 Lichfield St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,705,4003
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"370 Moorland Settlement Rd, Hakataramea Valley 9498, New Zealand",MacKenzie/Waimate,14612,268404
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"406-408 Yaldhurst Rd, Russley, Christchurch 8042, New Zealand",Avonhead/Yaldhurst,1562,14434
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"451 Rattletrack Rd, Rolleston 7674, New Zealand",Banks Peninsula/Selwyn,1939,27132
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"46 Roosevelt Ave, St Albans, Christchurch 8014, New Zealand",St Albans North/ Mairehau,628,4917
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"5 Jarrow Pl, Halswell, Christchurch 8025, New Zealand",Halswell/Wigram,1345,11966
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"5 Jebson St, Mairehau, Christchurch 8013, New Zealand",Richmond/Shirley,459,3414
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"5-11 Smarts Rd, Hornby, Christchurch 8042, New Zealand",Horby/Islington/Hei Hei,1621,17818
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"51-53 Hudson St, Bryndwr, Christchurch 8053, New Zealand",Bishopdale/Papanui,1017,7822
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"532A Hereford St, Linwood, Christchurch 8011, New Zealand",Linwood/Phillipstown,307,2243
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"535a Madras St, St Albans, Christchurch 8014, New Zealand",St Albans East/Edgeware,426,2971
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"55 Valley Rd, Cashmere, Christchurch 8022, New Zealand",Westmorland/Cashmere/Barrington,1102,9674
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"56 Lilly Rd, Fernside 7471, New Zealand",Rural Waimakariri,2114,33369
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"62 Richardson Terrace, Woolston, Christchurch 8023, New Zealand",Woolston/Opawa,559,4803
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"637-679 Hills Rd, Marshland, Christchurch 8051, New Zealand",Marshland/Redwood,729,6585
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"7 Church Square, Addington, Christchurch 8024, New Zealand",Addington,841,6167
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"9-11 Garreg Rd, Fendalton, Christchurch 8052, New Zealand",Fendalton/Strowan/Bryndwr,863,6455
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"96-198 John Talbot Rd, Temuka 7985, New Zealand",Rural Timaru/Temuka/Geraldine,7680,155082
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"98 Beresford St, New Brighton, Christchurch 8061, New Zealand",North Beach/New Brighton/Southshore,699,6976
"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,"9B Burlington St, Sydenham, Christchurch 8023, New Zealand",Sydenham/Waltham,656,4860
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"1 Bracken St, Avonside, Christchurch 8061, New Zealand",Richmond/Avonside,1006,10174
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"114 Wai-Iti Rd, Highfield, Timaru 7910, New Zealand",Timaru Township,8676,172977
"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,"124 Rothesay Rd, Parklands, Christchurch 8083, New Zealand",Styx/Parklands,1312,16433
