orig_name,dest_name,card_fare
Rangiora/Kaiapoi,Richmond/Avonside,
Banks Peninsula/Selwyn,Richmond/Avonside,
Styx/Parklands,Banks Peninsula/Selwyn,
Sawyers Arms/Northcote/Belfast,Banks Peninsula/Selwyn,
Marshland/Redwood,Banks Peninsula/Selwyn,
Burnside/Harewood,Banks Peninsula/Selwyn,
Bishopdale/Papanui,Banks Peninsula/Selwyn,
St Albans North/ Mairehau,Banks Peninsula/Selwyn,
Richmond/Shirley,Banks Peninsula/Selwyn,
Burwood/Dallington/Avondale,Banks Peninsula/Selwyn,
North Beach/New Brighton/Southshore,Banks Peninsula/Selwyn,
Fendalton/Strowan/Bryndwr,Banks Peninsula/Selwyn,
St Albans East/Edgeware,Banks Peninsula/Selwyn,
Merivale/St Albans West,Banks Peninsula/Selwyn,
Ilam/Westburn,Banks Peninsula/Selwyn,
Avonhead/Yaldhurst,Banks Peninsula/Selwyn,
Aranui/Bromley/Bexley,Banks Peninsula/Selwyn,
Richmond/Avonside,Banks Peninsula/Selwyn,
Avon Loop/Christchurch East,Banks Peninsula/Selwyn,
Sockburn/Upper Riccarton,Banks Peninsula/Selwyn,
Linwood/Phillipstown,Banks Peninsula/Selwyn,
Riccarton,Banks Peninsula/Selwyn,
Christchurch Central/Hagley,Banks Peninsula/Selwyn,
Horby/Islington/Hei Hei,Banks Peninsula/Selwyn,
Addington,Banks Peninsula/Selwyn,
Woolston/Opawa,Banks Peninsula/Selwyn,
Sydenham/Waltham,Banks Peninsula/Selwyn,
Spreydon/Somerfield,Banks Peninsula/Selwyn,
Hillmorton/Hoon Hay,Banks Peninsula/Selwyn,
St Martins/Beckenham/Huntsbury,Banks Peninsula/Selwyn,
Redcliffs/Sumner,Banks Peninsula/Selwyn,
Halswell/Wigram,Banks Peninsula/Selwyn,
Westmorland/Cashmere/Barrington,Banks Peninsula/Selwyn,
Rangiora/Kaiapoi,Redcliffs/Sumner,3.75
Banks Peninsula/Selwyn,Redcliffs/Sumner,
Rangiora/Kaiapoi,Christchurch Central/Hagley,3.75
Banks Peninsula/Selwyn,Christchurch Central/Hagley,
Rangiora/Kaiapoi,Styx/Parklands,3.75
Banks Peninsula/Selwyn,Styx/Parklands,
Rangiora/Kaiapoi,Merivale/St Albans West,3.75
Banks Peninsula/Selwyn,Merivale/St Albans West,
Rangiora/Kaiapoi,Sawyers Arms/Northcote/Belfast,3.75
Banks Peninsula/Selwyn,Sawyers Arms/Northcote/Belfast,
Rangiora/Kaiapoi,Avon Loop/Christchurch East,3.75
Banks Peninsula/Selwyn,Avon Loop/Christchurch East,
Rangiora/Kaiapoi,Sockburn/Upper Riccarton,3.75
Banks Peninsula/Selwyn,Sockburn/Upper Riccarton,
Rangiora/Kaiapoi,St Martins/Beckenham/Huntsbury,3.75
Banks Peninsula/Selwyn,St Martins/Beckenham/Huntsbury,
Rangiora/Kaiapoi,Aranui/Bromley/Bexley,3.75
Banks Peninsula/Selwyn,Aranui/Bromley/Bexley,
Rangiora/Kaiapoi,Burnside/Harewood,3.75
Banks Peninsula/Selwyn,Burnside/Harewood,
Rangiora/Kaiapoi,Burwood/Dallington/Avondale,3.75
Banks Peninsula/Selwyn,Burwood/Dallington/Avondale,
Rangiora/Kaiapoi,Ilam/Westburn,3.75
Banks Peninsula/Selwyn,Ilam/Westburn,
Rangiora/Kaiapoi,Spreydon/Somerfield,3.75
Banks Peninsula/Selwyn,Spreydon/Somerfield,
Rangiora/Kaiapoi,Riccarton,3.75
Banks Peninsula/Selwyn,Riccarton,
Rangiora/Kaiapoi,Avonhead/Yaldhurst,3.75
Banks Peninsula/Selwyn,Avonhead/Yaldhurst,
Rangiora/Kaiapoi,St Albans North/ Mairehau,3.75
Banks Peninsula/Selwyn,St Albans North/ Mairehau,
Rangiora/Kaiapoi,Hillmorton/Hoon Hay,3.75
Banks Peninsula/Selwyn,Hillmorton/Hoon Hay,
Rangiora/Kaiapoi,Halswell/Wigram,3.75
Banks Peninsula/Selwyn,Halswell/Wigram,
Rangiora/Kaiapoi,Richmond/Shirley,3.75
Banks Peninsula/Selwyn,Richmond/Shirley,
Rangiora/Kaiapoi,Horby/Islington/Hei Hei,3.75
Banks Peninsula/Selwyn,Horby/Islington/Hei Hei,
Rangiora/Kaiapoi,Bishopdale/Papanui,3.75
Banks Peninsula/Selwyn,Bishopdale/Papanui,
Rangiora/Kaiapoi,Linwood/Phillipstown,3.75
Banks Peninsula/Selwyn,Linwood/Phillipstown,
Rangiora/Kaiapoi,St Albans East/Edgeware,3.75
Banks Peninsula/Selwyn,St Albans East/Edgeware,
Rangiora/Kaiapoi,Westmorland/Cashmere/Barrington,3.75
Banks Peninsula/Selwyn,Westmorland/Cashmere/Barrington,
Rangiora/Kaiapoi,Woolston/Opawa,3.75
Banks Peninsula/Selwyn,Woolston/Opawa,
Rangiora/Kaiapoi,Marshland/Redwood,3.75
Banks Peninsula/Selwyn,Marshland/Redwood,
Rangiora/Kaiapoi,Addington,3.75
Banks Peninsula/Selwyn,Addington,
Rangiora/Kaiapoi,Fendalton/Strowan/Bryndwr,3.75
Banks Peninsula/Selwyn,Fendalton/Strowan/Bryndwr,
Rangiora/Kaiapoi,North Beach/New Brighton/Southshore,3.75
Banks Peninsula/Selwyn,North Beach/New Brighton/Southshore,
Rangiora/Kaiapoi,Sydenham/Waltham,3.75
Banks Peninsula/Selwyn,Sydenham/Waltham,
Styx/Parklands,Rangiora/Kaiapoi,3.75
Sawyers Arms/Northcote/Belfast,Rangiora/Kaiapoi,3.75
Marshland/Redwood,Rangiora/Kaiapoi,3.75
Burnside/Harewood,Rangiora/Kaiapoi,3.75
Bishopdale/Papanui,Rangiora/Kaiapoi,3.75
St Albans North/ Mairehau,Rangiora/Kaiapoi,3.75
Richmond/Shirley,Rangiora/Kaiapoi,3.75
Burwood/Dallington/Avondale,Rangiora/Kaiapoi,3.75
North Beach/New Brighton/Southshore,Rangiora/Kaiapoi,3.75
Fendalton/Strowan/Bryndwr,Rangiora/Kaiapoi,3.75
St Albans East/Edgeware,Rangiora/Kaiapoi,3.75
Merivale/St Albans West,Rangiora/Kaiapoi,3.75
Ilam/Westburn,Rangiora/Kaiapoi,3.75
Avonhead/Yaldhurst,Rangiora/Kaiapoi,3.75
Aranui/Bromley/Bexley,Rangiora/Kaiapoi,3.75
Richmond/Avonside,Rangiora/Kaiapoi,
Avon Loop/Christchurch East,Rangiora/Kaiapoi,3.75
Sockburn/Upper Riccarton,Rangiora/Kaiapoi,3.75
Linwood/Phillipstown,Rangiora/Kaiapoi,3.75
Riccarton,Rangiora/Kaiapoi,3.75
Christchurch Central/Hagley,Rangiora/Kaiapoi,3.75
Horby/Islington/Hei Hei,Rangiora/Kaiapoi,3.75
Addington,Rangiora/Kaiapoi,3.75
Woolston/Opawa,Rangiora/Kaiapoi,3.75
Sydenham/Waltham,Rangiora/Kaiapoi,3.75
Spreydon/Somerfield,Rangiora/Kaiapoi,3.75
Hillmorton/Hoon Hay,Rangiora/Kaiapoi,3.75
St Martins/Beckenham/Huntsbury,Rangiora/Kaiapoi,3.75
Redcliffs/Sumner,Rangiora/Kaiapoi,3.75
Halswell/Wigram,Rangiora/Kaiapoi,3.75
Westmorland/Cashmere/Barrington,Rangiora/Kaiapoi,3.75
Styx/Parklands,Richmond/Avonside,
Sawyers Arms/Northcote/Belfast,Richmond/Avonside,
Marshland/Redwood,Richmond/Avonside,
Burnside/Harewood,Richmond/Avonside,
Bishopdale/Papanui,Richmond/Avonside,
St Albans North/ Mairehau,Richmond/Avonside,2.55
Richmond/Shirley,Richmond/Avonside,2.55
Burwood/Dallington/Avondale,Richmond/Avonside,2.55
North Beach/New Brighton/Southshore,Richmond/Avonside,
Fendalton/Strowan/Bryndwr,Richmond/Avonside,
St Albans East/Edgeware,Richmond/Avonside,2.55
Merivale/St Albans West,Richmond/Avonside,2.55
Ilam/Westburn,Richmond/Avonside,
Avonhead/Yaldhurst,Richmond/Avonside,
Aranui/Bromley/Bexley,Richmond/Avonside,2.55
Avon Loop/Christchurch East,Richmond/Avonside,2.55
Sockburn/Upper Riccarton,Richmond/Avonside,
Linwood/Phillipstown,Richmond/Avonside,2.55
Riccarton,Richmond/Avonside,
Christchurch Central/Hagley,Richmond/Avonside,2.55
Horby/Islington/Hei Hei,Richmond/Avonside,
Addington,Richmond/Avonside,
Woolston/Opawa,Richmond/Avonside,2.55
Sydenham/Waltham,Richmond/Avonside,2.55
Spreydon/Somerfield,Richmond/Avonside,
Hillmorton/Hoon Hay,Richmond/Avonside,
St Martins/Beckenham/Huntsbury,Richmond/Avonside,
Redcliffs/Sumner,Richmond/Avonside,
Halswell/Wigram,Richmond/Avonside,
Westmorland/Cashmere/Barrington,Richmond/Avonside,
