TA,MARKET RENT DESCRIPTION,AU NAME,SAU
Ashburton ,Ashburton - Entire District,Methven,597600
Ashburton ,Ashburton - Entire District,Fairton,597711
Ashburton ,Ashburton - Entire District,Plains Railway,597712
Ashburton ,Ashburton - Entire District,Mt Somers,597720
Ashburton ,Ashburton - Entire District,Hinds,597730
Ashburton ,Ashburton - Entire District,Chertsey,597741
Ashburton ,Ashburton - Entire District,Rakaia,597742
Ashburton ,Ashburton - Entire District,Allenton,597810
Ashburton ,Ashburton - Entire District,Central Ashburton West,597820
Ashburton ,Ashburton - Entire District,Netherby,597830
Ashburton ,Ashburton - Entire District,Central Ashburton East,597840
Ashburton ,Ashburton - Entire District,Hampstead,597850
Ashburton ,Ashburton - Entire District,Tinwald,597860
Auckland ,Auckland - Avondale,Glenavon,514402
Auckland ,Auckland - Avondale,Rosebank,514801
Auckland ,Auckland - Avondale,Avondale West,514802
Auckland ,Auckland - Balmoral,Maungawhau,518301
Auckland ,Auckland - Balmoral,Mt Eden South,518302
Auckland ,Auckland - Blockhouse Bay/New Windsor,New Windsor,514500
Auckland ,Auckland - Blockhouse Bay/New Windsor,Avondale South,514600
Auckland ,Auckland - Blockhouse Bay/New Windsor,Blockhouse Bay,514700
Auckland ,Auckland - Central East,Auckland Central East,514103
Auckland ,Auckland - Central West,Auckland Central West,514102
Auckland ,Auckland - Eden Terrace,Eden Terrace,515600
Auckland ,Auckland - Ellerslie,Ellerslie North,520201
Auckland ,Auckland - Ellerslie,Ellerslie South,520202
Auckland ,Auckland - Epsom,Epsom North,515700
Auckland ,Auckland - Epsom,Epsom Central,515801
Auckland ,Auckland - Epsom,Epsom South,515802
Auckland ,Auckland - Epsom,Mt St John,519200
Auckland ,Auckland - Glen Innes/Pt England/Wai O Taiki,Glen Innes West,517001
Auckland ,Auckland - Glen Innes/Pt England/Wai O Taiki,Glen Innes East,517002
Auckland ,Auckland - Glen Innes/Pt England/Wai O Taiki,Point England,517100
Auckland ,Auckland - Grey Lynn/Arch Hill,Grey Lynn West,515410
Auckland ,Auckland - Grey Lynn/Arch Hill,Grey Lynn East,515420
Auckland ,Auckland - Grey Lynn/Arch Hill,Arch Hill,515500
Auckland ,Auckland - Harbourside,Auckland Harbourside,514101
