au2001,au_name,territory,region,rental_area
500100,Awanui,Far North District,Northland,Rural Far North
500202,Mangonui East,Far North District,Northland,Mangonui/Kaeo
500203,Taipa Bay-Mangonui,Far North District,Northland,Mangonui/Kaeo
500204,Mangonui West,Far North District,Northland,Rural Far North
500205,Ahipara,Far North District,Northland,Ahipara/Kaitaia
500206,North Cape,Far North District,Northland,Rural Far North
500207,Houhora,Far North District,Northland,Rural Far North
500208,Motutangi-Kareponia,Far North District,Northland,Rural Far North
500301,Kaitaia West,Far North District,Northland,Ahipara/Kaitaia
500302,Kaitaia East,Far North District,Northland,Ahipara/Kaitaia
500401,Kaeo,Far North District,Northland,Mangonui/Kaeo
500402,Mangapa-Matauri Bay,Far North District,Northland,Mangonui/Kaeo
500500,Kohukohu,Far North District,Northland,Rural Far North
500600,Rawene,Far North District,Northland,Rural Far North
500700,Omapere And Opononi,Far North District,Northland,Rural Far North
500801,Hokianga North,Far North District,Northland,Rural Far North
500802,Hokianga South,Far North District,Northland,Rural Far North
500900,Kerikeri,Far North District,Northland,Bay Of Islands
501000,Russell,Far North District,Northland,Bay Of Islands
501100,Paihia,Far North District,Northland,Bay Of Islands
501200,Haruru Falls,Far North District,Northland,Bay Of Islands
501300,East Opua,Far North District,Northland,Bay Of Islands
501400,Kawakawa,Far North District,Northland,Rural Far North
501500,Moerewa,Far North District,Northland,Rural Far North
501611,Waitangi-Te Tii,Far North District,Northland,Bay Of Islands
501612,West Opua,Far North District,Northland,Bay Of Islands
501613,Bay Of Islands,Far North District,Northland,Bay Of Islands
501620,Pokere-Waihaha,Far North District,Northland,Rural Far North
501631,Okaihau,Far North District,Northland,Rural Far North
501632,Ohaeawai,Far North District,Northland,Rural Far North
501633,Waihou Valley-Hupara,Far North District,Northland,Rural Far North
501634,Ngapuhi-Kaikou,Far North District,Northland,Rural Far North
501700,Kaikohe,Far North District,Northland,Kaikohe
501802,Opouteke-Tanekaha,Whangarei District,Northland,North West Rural
501805,Bream Head,Whangarei District,Northland,Ngunguru/Onerahi/Whangarei Heads/Waipu
501806,Marsden Point-Ruakaka,Whangarei District,Northland,Ngunguru/Onerahi/Whangarei Heads/Waipu
501807,Ngunguru,Whangarei District,Northland,Ngunguru/Onerahi/Whangarei Heads/Waipu
501809,Wharekohe-Oakleigh,Whangarei District,Northland,North West Rural
501810,Maungatapere,Whangarei District,Northland,North West Rural
501811,Waiotira-Springfield,Whangarei District,Northland,North West Rural
501812,Waipu,Whangarei District,Northland,Ngunguru/Onerahi/Whangarei Heads/Waipu
501813,Whangaruru Harbour,Whangarei District,Northland,Western Beaches/Rural
