orig,orig_name,dest,dest_name,duration,distance
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"-36.6194,174.70263",Orewa/Whangaparaoa,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"-36.75845,174.5639",Rewiti/Kumeu/Riverhead,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"-36.88556,174.5421",Western Beaches/Rural,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"-37.19671,174.86174",Rural Franklin,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"1 Couldry St, Eden Terrace, Auckland 1021, New Zealand",Eden Terrace,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"1 Dreadon Rd, Manurewa, Auckland 2102, New Zealand",Manurewa North,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"1 Dunraven Pl, Torbay, Auckland 0630, New Zealand",Torbay,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"10-12 Westridge Rd, Titirangi, Auckland 0604, New Zealand",Titirangi,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"102-116 Church St, Otahuhu, Auckland 1062, New Zealand",Otahuhu,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"105 Victoria Ave, Remuera, Auckland 1050, New Zealand",Remuera,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"11 Bulwer St, Devonport, Auckland 0624, New Zealand",Devonport,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"111 Eugenia Rise, Goodwood Heights, Auckland 2105, New Zealand",Manukau Heights and Manurewa Heights,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"12 Merriefield Ave, Forrest Hill, Auckland 0620, New Zealand",Sunnynook/Westlake,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"126 Symonds St, Eden Terrace, Auckland 1010, New Zealand",Newton/Grafton,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"13A Kesteven Ave, Glendowie, Auckland 1071, New Zealand",St Helliers/Glendowie,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"14-16 Kitchener Rd, Waiuku 2123, New Zealand",Waiuku,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"147 Triangle Rd, Massey, Auckland 0614, New Zealand",Massey/Royal Heights,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"15 Rawene Rd, Birkenhead, Auckland 0626, New Zealand",Chatswood/Birkenhead/Northcote Point,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"15-17 Hamilton Rd, Herne Bay, Auckland 1011, New Zealand",Herne Bay/St Marys,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"15-17 Manukau Station Rd, Manukau, Auckland 2104, New Zealand",Manukau Central,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"157 Oteha Valley Rd, Fairview Heights, Auckland 0632, New Zealand",Albany,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"15B Sandra Ave, Otara, Auckland 2023, New Zealand",Otara,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"161-169 Hobson St, Auckland, 1010, New Zealand",Central West,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"1664-1666 Great North Rd, Avondale, Auckland 1026, New Zealand",Waterview/Avondale Heights,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"17-19 Appleyard Cres, Meadowbank, Auckland 1072, New Zealand",Meadowbank,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"17-19 Winhall Rise, Remuera, Auckland 1050, New Zealand",Remuera South/Meadowbank South,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"18 Glenarm Ave, Mount Roskill, Auckland 1041, New Zealand",Mt Roskill/Wesley,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"18-20 Cebalo Pl, Mount Wellington, Auckland 1060, New Zealand",Mt Wellington,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"187-191 Manukau Rd, Pukekohe 2120, New Zealand",Pukekohe/Tuakau,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"2 Eaton Rd, Hillsborough, Auckland 1042, New Zealand",Hillsborough,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"2 John Downs Dr, Browns Bay, Auckland 0630, New Zealand",Browns Bay,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"2 Stilwell Rd, Mount Albert, Auckland 1025, New Zealand",Mt Albert/Owairaka,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"2 Sumner St, Papatoetoe, Auckland 2025, New Zealand",Papatoetoe West,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"20 Geneva Pl, Blockhouse Bay, Auckland 0600, New Zealand",Blockhouse Bay/New Windsor,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"21 Margan Ave, New Lynn, Auckland 0600, New Zealand",New Lynn,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"21-23 Lynden Ave, Hillcrest, Auckland 0627, New Zealand",Hillcrest/Northcote,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"22-24 Alverna Heights View, Gulf Harbour, Whangaparaoa 0930, New Zealand",Gulf Harbour,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"22-24 Tiri Tiri Rd, Birkdale, Auckland 0626, New Zealand",Beachhaven/Birkdale,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"23 Fearon Ave, Mount Roskill, Auckland 1041, New Zealand",Three Kings,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"23 Kaseng Pl, East Tamaki Heights, Auckland 2016, New Zealand",Dannemora,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"25 Hain Ave, Mangere East, Auckland 2024, New Zealand",Mangere East,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"26 Alberon St, Parnell, Auckland 1052, New Zealand",Parnell,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"26 Mission View Dr, Northpark, Auckland 2013, New Zealand",Botony Downs,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"26-28 Flanshaw Rd, Te Atatu South, Auckland 0610, New Zealand",Te Atatu,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"27 Warwick Ave, Westmere, Auckland 1022, New Zealand",Westmere/Surrey Crescent,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"273 Hobsonville Rd, Hobsonville, Auckland 0618, New Zealand",West Harbour,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"27a Hutchinsons Rd, Bucklands Beach, Auckland 2014, New Zealand",Highland Park,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"3 Jutland Rd, Hauraki, Auckland 0622, New Zealand",Takapuna,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"3 Lydford Pl, Glendene, Auckland 0602, New Zealand",Glendene,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"3 Wakatipu St, Point Chevalier, Auckland 1022, New Zealand",Pt Chevalier,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"30a Ludlow Terrace, Totara Vale, Auckland 0627, New Zealand",Wairau Park/Glenfield North,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"31 Princes St, Auckland, 1010, New Zealand",Central East,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"318A Upper Harbour Dr, Greenhithe, Auckland 0632, New Zealand",Greenhithe/Unsworth Heights,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"32A Reeves Rd, Pakuranga, Auckland 2010, New Zealand",Pakuranga,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"33 Amy St, Ellerslie, Auckland 1051, New Zealand",Ellerslie,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"335 Mount Wellington Hwy, Mount Wellington, Auckland 1060, New Zealand",Penrose/Mt Wellington South,,
"-36.43191,174.62146",Wellsford/Warkworth/Helensville,"34 Nacton Ln, Avondale, Auckland 1026, New Zealand",Avondale,,
