au2001,property_type,num_bedrooms,quarter,rent_count,rent_mean,rent_geo_mean,au_name,territory,region,rental_area
505300,Flat or Apartment,1,2019-12-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,Flat or Apartment,2,2019-12-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,2,2019-12-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,3,2019-12-01,7.0,456.0,454.0,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,4,2019-12-01,5.0,528.0,525.0,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,5+,2019-12-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,Flat or Apartment,1,2020-03-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,Flat or Apartment,2,2020-03-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,2,2020-03-01,5.0,404.0,403.0,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,3,2020-03-01,6.0,447.0,445.0,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,4,2020-03-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505300,House,5+,2020-03-01,,,,Wellsford,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,Flat or Apartment,1,2019-12-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,House,2,2019-12-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,House,3,2019-12-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,House,4,2019-12-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,Flat or Apartment,1,2020-03-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,House,2,2020-03-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,House,3,2020-03-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505400,House,4,2020-03-01,,,,Leigh,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,Flat or Apartment,1,2019-12-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,Flat or Apartment,2,2019-12-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,Flat or Apartment,3,2019-12-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,1,2019-12-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,2,2019-12-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,3,2019-12-01,19.0,535.0,530.0,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,4,2019-12-01,9.0,600.0,599.0,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,5+,2019-12-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,Flat or Apartment,1,2020-03-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,Flat or Apartment,2,2020-03-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,Flat or Apartment,3,2020-03-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,1,2020-03-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,2,2020-03-01,5.0,418.0,416.0,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,3,2020-03-01,11.0,519.0,516.0,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,4,2020-03-01,7.0,591.0,590.0,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505500,House,5+,2020-03-01,,,,Warkworth,Rodney District,Auckland,Wellsford/Warkworth/Helensville
505600,Flat or Apartment,1,2019-12-01,,,,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,Flat or Apartment,2,2019-12-01,5.0,459.0,458.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,Flat or Apartment,3,2019-12-01,,,,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,1,2019-12-01,,,,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,2,2019-12-01,19.0,526.0,505.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,3,2019-12-01,16.0,574.0,523.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,4,2019-12-01,18.0,698.0,695.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,5+,2019-12-01,5.0,2582.0,1510.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,Flat or Apartment,1,2020-03-01,,,,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,Flat or Apartment,2,2020-03-01,7.0,383.0,316.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,Flat or Apartment,3,2020-03-01,,,,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,1,2020-03-01,,,,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,2,2020-03-01,5.0,476.0,475.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,3,2020-03-01,9.0,685.0,677.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,4,2020-03-01,13.0,722.0,714.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505600,House,5+,2020-03-01,7.0,815.0,814.0,Kumeu,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
505802,Flat or Apartment,1,2019-12-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Flat or Apartment,2,2019-12-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Flat or Apartment,3,2019-12-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Flat or Apartment,4,2019-12-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,1,2019-12-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,2,2019-12-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,3,2019-12-01,14.0,599.0,593.0,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,4,2019-12-01,13.0,731.0,729.0,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,5+,2019-12-01,6.0,843.0,840.0,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Room or Boarding House,1,2019-12-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Flat or Apartment,1,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Flat or Apartment,2,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Flat or Apartment,3,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Flat or Apartment,4,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,1,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,2,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,3,2020-03-01,11.0,603.0,595.0,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,4,2020-03-01,8.0,743.0,741.0,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,House,5+,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505802,Room or Boarding House,1,2020-03-01,,,,Red Beach,Rodney District,Auckland,Orewa/Whangaparaoa
505803,Flat or Apartment,1,2019-12-01,,,,Waiwera,Rodney District,Auckland,Orewa/Whangaparaoa
505803,Flat or Apartment,2,2019-12-01,,,,Waiwera,Rodney District,Auckland,Orewa/Whangaparaoa
505803,Flat or Apartment,3,2019-12-01,,,,Waiwera,Rodney District,Auckland,Orewa/Whangaparaoa
505803,House,2,2019-12-01,,,,Waiwera,Rodney District,Auckland,Orewa/Whangaparaoa
505803,House,3,2019-12-01,,,,Waiwera,Rodney District,Auckland,Orewa/Whangaparaoa
