orig,orig_name,dest,dest_name,duration,distance
"-42.72971,173.04164",Kaikoura/Hurunui,"-43.3206,172.51956",Rural Waimakariri,,
"-42.72971,173.04164",Kaikoura/Hurunui,"-43.52141,172.66402",Richmond/Avonside,,
"-42.72971,173.04164",Kaikoura/Hurunui,"-43.62091,172.41804",Banks Peninsula/Selwyn,,
"-42.72971,173.04164",Kaikoura/Hurunui,"-43.85886,171.72088",Ashburton,,
"-42.72971,173.04164",Kaikoura/Hurunui,"-44.21902,171.23329",Rural Timaru/Temuka/Geraldine,,
"-42.72971,173.04164",Kaikoura/Hurunui,"-44.39098,171.23088",Timaru Township,,
"-42.72971,173.04164",Kaikoura/Hurunui,"-44.4711,170.70523",MacKenzie/Waimate,,
"-42.72971,173.04164",Kaikoura/Hurunui,"-45.09058,170.79081",Waitaki,,
"-42.72971,173.04164",Kaikoura/Hurunui,"114 Moncks Spur Rd, Redcliffs, Christchurch 8081, New Zealand",Redcliffs/Sumner,,
"-42.72971,173.04164",Kaikoura/Hurunui,"120 Cashel St, Christchurch Central, Christchurch 8011, New Zealand",Christchurch Central/Hagley,,
"-42.72971,173.04164",Kaikoura/Hurunui,"124 Rothesay Rd, Parklands, Christchurch 8083, New Zealand",Styx/Parklands,,
"-42.72971,173.04164",Kaikoura/Hurunui,"130-154 Merivale Ln, Merivale, Christchurch 8014, New Zealand",Merivale/St Albans West,,
"-42.72971,173.04164",Kaikoura/Hurunui,"149-159 Boys Rd, Waimakariri, Rangiora 7400, New Zealand",Rangiora/Kaiapoi,,
"-42.72971,173.04164",Kaikoura/Hurunui,"185 Cavendish Rd, Casebrook, Christchurch 8051, New Zealand",Sawyers Arms/Northcote/Belfast,,
"-42.72971,173.04164",Kaikoura/Hurunui,"218-220 Peterborough St, Christchurch Central, Christchurch 8013, New Zealand",Avon Loop/Christchurch East,,
"-42.72971,173.04164",Kaikoura/Hurunui,"22-24 English St, Sockburn, Christchurch 8042, New Zealand",Sockburn/Upper Riccarton,,
"-42.72971,173.04164",Kaikoura/Hurunui,"224 Centaurus Rd, St Martins, Christchurch 8022, New Zealand",St Martins/Beckenham/Huntsbury,,
"-42.72971,173.04164",Kaikoura/Hurunui,"246 Pages Rd, Wainoni, Christchurch 8062, New Zealand",Aranui/Bromley/Bexley,,
"-42.72971,173.04164",Kaikoura/Hurunui,"26 Nepal Pl, Burnside, Christchurch 8053, New Zealand",Burnside/Harewood,,
"-42.72971,173.04164",Kaikoura/Hurunui,"267 Locksley Ave, Dallington, Christchurch 8061, New Zealand",Burwood/Dallington/Avondale,,
"-42.72971,173.04164",Kaikoura/Hurunui,"3 McLellan Pl, Ilam, Christchurch 8041, New Zealand",Ilam/Westburn,,
"-42.72971,173.04164",Kaikoura/Hurunui,"31A Sugden St, Spreydon, Christchurch 8024, New Zealand",Spreydon/Somerfield,,
"-42.72971,173.04164",Kaikoura/Hurunui,"33a Maxwell St, Riccarton, Christchurch 8041, New Zealand",Riccarton,,
"-42.72971,173.04164",Kaikoura/Hurunui,"406-408 Yaldhurst Rd, Russley, Christchurch 8042, New Zealand",Avonhead/Yaldhurst,,
"-42.72971,173.04164",Kaikoura/Hurunui,"46 Roosevelt Ave, St Albans, Christchurch 8014, New Zealand",St Albans North/ Mairehau,,
"-42.72971,173.04164",Kaikoura/Hurunui,"47 Mathers Rd, Hoon Hay, Christchurch 8025, New Zealand",Hillmorton/Hoon Hay,,
"-42.72971,173.04164",Kaikoura/Hurunui,"5 Jarrow Pl, Halswell, Christchurch 8025, New Zealand",Halswell/Wigram,,
"-42.72971,173.04164",Kaikoura/Hurunui,"5 Jebson St, Mairehau, Christchurch 8013, New Zealand",Richmond/Shirley,,
"-42.72971,173.04164",Kaikoura/Hurunui,"5-11 Smarts Rd, Hornby, Christchurch 8042, New Zealand",Horby/Islington/Hei Hei,,
"-42.72971,173.04164",Kaikoura/Hurunui,"51-53 Hudson St, Bryndwr, Christchurch 8053, New Zealand",Bishopdale/Papanui,,
"-42.72971,173.04164",Kaikoura/Hurunui,"532A Hereford St, Linwood, Christchurch 8011, New Zealand",Linwood/Phillipstown,,
"-42.72971,173.04164",Kaikoura/Hurunui,"535a Madras St, St Albans, Christchurch 8014, New Zealand",St Albans East/Edgeware,,
"-42.72971,173.04164",Kaikoura/Hurunui,"55 Valley Rd, Cashmere, Christchurch 8022, New Zealand",Westmorland/Cashmere/Barrington,,
"-42.72971,173.04164",Kaikoura/Hurunui,"62 Richardson Terrace, Woolston, Christchurch 8023, New Zealand",Woolston/Opawa,,
"-42.72971,173.04164",Kaikoura/Hurunui,"637-679 Hills Rd, Marshland, Christchurch 8051, New Zealand",Marshland/Redwood,,
"-42.72971,173.04164",Kaikoura/Hurunui,"7 Church Square, Addington, Christchurch 8024, New Zealand",Addington,,
"-42.72971,173.04164",Kaikoura/Hurunui,"9-11 Garreg Rd, Fendalton, Christchurch 8052, New Zealand",Fendalton/Strowan/Bryndwr,,
