orig,orig_name,dest,dest_name,duration,distance
"-40.82298,175.08687",Waikanae/Otaki,"-40.94237,175.71744",Masterton,,
"-40.82298,175.08687",Waikanae/Otaki,"-41.13578,175.46336",Carterton/South Wairarapa,,
"-40.82298,175.08687",Waikanae/Otaki,"-41.30328,174.76073",Brooklyn,,
"-40.82298,175.08687",Waikanae/Otaki,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,,
"-40.82298,175.08687",Waikanae/Otaki,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,,
"-40.82298,175.08687",Waikanae/Otaki,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,,
"-40.82298,175.08687",Waikanae/Otaki,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,,
"-40.82298,175.08687",Waikanae/Otaki,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,,
"-40.82298,175.08687",Waikanae/Otaki,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,,
"-40.82298,175.08687",Waikanae/Otaki,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,,
"-40.82298,175.08687",Waikanae/Otaki,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,,
"-40.82298,175.08687",Waikanae/Otaki,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,,
"-40.82298,175.08687",Waikanae/Otaki,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,,
"-40.82298,175.08687",Waikanae/Otaki,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,,
"-40.82298,175.08687",Waikanae/Otaki,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,,
"-40.82298,175.08687",Waikanae/Otaki,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,,
"-40.82298,175.08687",Waikanae/Otaki,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,,
"-40.82298,175.08687",Waikanae/Otaki,"21 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,,
"-40.82298,175.08687",Waikanae/Otaki,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,,
"-40.82298,175.08687",Waikanae/Otaki,"25 Stafford St, Mount Victoria, Wellington 6011, New Zealand",Mt Victoria/Roseneath,,
"-40.82298,175.08687",Waikanae/Otaki,"26 Fraser Cres, Elderslea, Upper Hutt 5018, New Zealand",Trentham West/Eldersley/Clouston Park,,
