orig,orig_name,dest,dest_name,duration,distance
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,15696,19596
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,20732,26559
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,2724,2758
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,43333,56562
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,3715,4579
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,4163,4725
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,23480,29619
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,4360,4198
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,11055,21521
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,13202,25034
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,57262,78850
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,2757,3375
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,5186,5739
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,2127,2520
