au2001,property_type,#bedrooms,quarter,rent_count,rent_mean,rent_geo_mean,au_name,territory,region,rental_area
563701,Flat or Apartment,1,2019-03-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,Flat or Apartment,2,2019-03-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,Flat or Apartment,3,2019-03-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,1,2019-03-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,2,2019-03-01,8.0,431.0,426.0,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,3,2019-03-01,9.0,489.0,486.0,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,4,2019-03-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,5+,2019-03-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,Flat or Apartment,1,2019-06-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,Flat or Apartment,2,2019-06-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,Flat or Apartment,3,2019-06-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,1,2019-06-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,2,2019-06-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,3,2019-06-01,10.0,542.0,541.0,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,4,2019-06-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563701,House,5+,2019-06-01,,,,Waikanae Beach,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,Flat or Apartment,1,2019-03-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,Flat or Apartment,2,2019-03-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,1,2019-03-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,2,2019-03-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,3,2019-03-01,8.0,507.0,497.0,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,4,2019-03-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,Flat or Apartment,1,2019-06-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,Flat or Apartment,2,2019-06-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,1,2019-06-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,2,2019-06-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,3,2019-06-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563703,House,4,2019-06-01,,,,Waikanae East,Kapiti Coast District,Wellington,Waikanae/Otaki
563704,House,3,2019-03-01,,,,Peka Peka,Kapiti Coast District,Wellington,Waikanae/Otaki
563704,House,3,2019-06-01,,,,Peka Peka,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,Flat or Apartment,2,2019-03-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,2,2019-03-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,3,2019-03-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,4,2019-03-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,5+,2019-03-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,Room or Boarding House,1,2019-03-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,Flat or Apartment,2,2019-06-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,2,2019-06-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,3,2019-06-01,7.0,451.0,447.0,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,4,2019-06-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,House,5+,2019-06-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563705,Room or Boarding House,1,2019-06-01,,,,Waikanae Park,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,Flat or Apartment,2,2019-03-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,Flat or Apartment,3,2019-03-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,1,2019-03-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,2,2019-03-01,5.0,407.0,407.0,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,3,2019-03-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,4,2019-03-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,5+,2019-03-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,Flat or Apartment,2,2019-06-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,Flat or Apartment,3,2019-06-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,1,2019-06-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,2,2019-06-01,6.0,390.0,389.0,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,3,2019-06-01,8.0,492.0,490.0,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,4,2019-06-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563706,House,5+,2019-06-01,,,,Waikanae West,Kapiti Coast District,Wellington,Waikanae/Otaki
563920,House,4,2019-03-01,,,,Kaitawa,Kapiti Coast District,Wellington,Waikanae/Otaki
563920,House,4,2019-06-01,,,,Kaitawa,Kapiti Coast District,Wellington,Waikanae/Otaki
564022,House,3,2019-03-01,,,,Otaki Forks,Kapiti Coast District,Wellington,Waikanae/Otaki
564022,House,4,2019-03-01,,,,Otaki Forks,Kapiti Coast District,Wellington,Waikanae/Otaki
564022,House,3,2019-06-01,,,,Otaki Forks,Kapiti Coast District,Wellington,Waikanae/Otaki
564022,House,4,2019-06-01,,,,Otaki Forks,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,1,2019-03-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,2,2019-03-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,3,2019-03-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,4,2019-03-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,1,2019-06-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,2,2019-06-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,3,2019-06-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564023,House,4,2019-06-01,,,,Te Horo,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,Flat or Apartment,1,2019-03-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,Flat or Apartment,2,2019-03-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,Flat or Apartment,3,2019-03-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,House,1,2019-03-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,House,2,2019-03-01,5.0,337.0,334.0,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,House,3,2019-03-01,28.0,409.0,405.0,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,House,4,2019-03-01,7.0,429.0,427.0,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,House,5+,2019-03-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,Flat or Apartment,1,2019-06-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,Flat or Apartment,2,2019-06-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
564400,Flat or Apartment,3,2019-06-01,,,,Otaki,Kapiti Coast District,Wellington,Waikanae/Otaki
