territory,rental_area,au_name,au2001
Ashburton ,Ashburton,Methven,597600
Ashburton ,Ashburton,Fairton,597711
Ashburton ,Ashburton,Plains Railway,597712
Ashburton ,Ashburton,Mt Somers,597720
Ashburton ,Ashburton,Hinds,597730
Ashburton ,Ashburton,Chertsey,597741
Ashburton ,Ashburton,Rakaia,597742
Ashburton ,Ashburton,Allenton,597810
Ashburton ,Ashburton,Central Ashburton West,597820
Ashburton ,Ashburton,Netherby,597830
Ashburton ,Ashburton,Central Ashburton East,597840
Ashburton ,Ashburton,Hampstead,597850
Ashburton ,Ashburton,Tinwald,597860
Auckland ,Avondale,Glenavon,514402
Auckland ,Avondale,Rosebank,514801
Auckland ,Avondale,Avondale West,514802
Auckland ,Balmoral,Maungawhau,518301
Auckland ,Balmoral,Mt Eden South,518302
Auckland ,Blockhouse Bay/New Windsor,New Windsor,514500
Auckland ,Blockhouse Bay/New Windsor,Avondale South,514600
Auckland ,Blockhouse Bay/New Windsor,Blockhouse Bay,514700
Auckland ,Central East,Auckland Central East,514103
Auckland ,Central West,Auckland Central West,514102
Auckland ,Eden Terrace,Eden Terrace,515600
Auckland ,Ellerslie,Ellerslie North,520201
Auckland ,Ellerslie,Ellerslie South,520202
Auckland ,Epsom,Epsom North,515700
Auckland ,Epsom,Epsom Central,515801
Auckland ,Epsom,Epsom South,515802
Auckland ,Epsom,Mt St John,519200
Auckland ,Glen Innes/Pt England/Wai O Taiki,Glen Innes West,517001
Auckland ,Glen Innes/Pt England/Wai O Taiki,Glen Innes East,517002
Auckland ,Glen Innes/Pt England/Wai O Taiki,Point England,517100
Auckland ,Grey Lynn/Arch Hill,Grey Lynn West,515410
Auckland ,Grey Lynn/Arch Hill,Grey Lynn East,515420
Auckland ,Grey Lynn/Arch Hill,Arch Hill,515500
Auckland ,Harbourside,Auckland Harbourside,514101
Auckland ,Herne Bay/St Marys,Herne Bay,515201
Auckland ,Herne Bay/St Marys,St Marys,515202
Auckland ,Hillsborough,Hillsborough West,518701
Auckland ,Hillsborough,Hillsborough East,518702
Auckland ,Hillsborough,Waikowhai East,519002
Auckland ,Kingsland,Kingsland,517500
Auckland ,Kohimarama,Kohimarama West,516601
Auckland ,Kohimarama,Kohimarama East,516602
Auckland ,Lynfield,Lynfield North,518901
Auckland ,Lynfield,Lynfield South,518902
Auckland ,Lynfield,Waikowhai West,519001
Auckland ,Meadowbank,Meadowbank North,516301
Auckland ,Mission Bay/Orakei,Orakei North,516400
Auckland ,Mission Bay/Orakei,Mission Bay,516500
Auckland ,Mt Albert/Owairaka,Mt Albert Central,517800
Auckland ,Mt Albert/Owairaka,Springleigh,517901
Auckland ,Mt Albert/Owairaka,Owairaka West,517902
Auckland ,Mt Albert/Owairaka,Owairaka East,517903
Auckland ,Mt Eden,Mt Eden North,518101
Auckland ,Mt Eden,Sherbourne,518102
Auckland ,Mt Eden,Balmoral,518201
Auckland ,Mt Eden,Mt Eden East,518202
Auckland ,Mt Roskill/Wesley,Walmsley,518801
Auckland ,Mt Roskill/Wesley,Wesley,518802
Auckland ,Mt Roskill/Wesley,Akarana,518803
Auckland ,Mt Wellington,Ferndale,520401
Auckland ,Mt Wellington North,Mt Wellington North,520300
Auckland ,Newmarket,Mt Hobson,516001
Auckland ,Newmarket,Newmarket,517400
Auckland ,Newton/Grafton,Newton,514200
Auckland ,Newton/Grafton,Grafton West,514301
Auckland ,Newton/Grafton,Grafton East,514302
Auckland ,Onehunga/Oranga/Te Papapa,Onehunga North West,519710
Auckland ,Onehunga/Oranga/Te Papapa,Onehunga North East,519720
Auckland ,Onehunga/Oranga/Te Papapa,Onehunga South West,519810
Auckland ,Onehunga/Oranga/Te Papapa,Onehunga South East,519820
Auckland ,Onehunga/Oranga/Te Papapa,Oranga,519900
Auckland ,Onehunga/Oranga/Te Papapa,Te Papapa,520000
Auckland ,Otahuhu,Otahuhu East,521800
Auckland ,Otahuhu,Otahuhu West,521901
Auckland ,Panmure,Tamaki,520601
Auckland ,Panmure,Panmure Basin,520602
Auckland ,Parnell,Parnell East,515901
Auckland ,Parnell,Parnell West,515902
Auckland ,Penrose/Mt Wellington South,Penrose,519500
Auckland ,Penrose/Mt Wellington South,Hamlin,520402
Auckland ,Penrose/Mt Wellington South,Mt Wellington South,520500
Auckland ,Ponsonby/Freemans Bay,Freemans Bay,514000
Auckland ,Ponsonby/Freemans Bay,Ponsonby West,515301
Auckland ,Ponsonby/Freemans Bay,Ponsonby East,515302
Auckland ,Pt Chevalier,Point Chevalier West,515001
Auckland ,Pt Chevalier,Point Chevalier East,515002
Auckland ,Pt Chevalier,Point Chevalier South,515003
Auckland ,Remuera,Remuera South,516002
Auckland ,Remuera,Remuera West,516101
Auckland ,Remuera,Waitaramoa,516102
Auckland ,Remuera,Orakei South,516201
Auckland ,Remuera,Waiata,516202
Auckland ,Remuera South/Meadowbank South,Abbotts Park,516003
Auckland ,Remuera South/Meadowbank South,Meadowbank South,516302
Auckland ,Royal Oak/One Tree Hill,Royal Oak,518600
Auckland ,Royal Oak/One Tree Hill,One Tree Hill Central,519300
Auckland ,Royal Oak/One Tree Hill,One Tree Hill East,519400
Auckland ,St Helliers/Glendowie,St Heliers,516700
Auckland ,St Helliers/Glendowie,Glendowie,516800
Auckland ,St Helliers/Glendowie,Glen Innes North,516900
Auckland ,St Johns,St Johns,517200
Auckland ,St Lukes/Sandringham,Sandringham North,517701
Auckland ,St Lukes/Sandringham,Sandringham West,517702
Auckland ,St Lukes/Sandringham,Sandringham East,517703
Auckland ,Three Kings,Three Kings,518500
Auckland ,Waiheke Island,Waiheke Island,520801
Auckland ,Waterview/Avondale Heights,Roberton,514401
Auckland ,Waterview/Avondale Heights,Waterview,514900
Auckland ,Western Springs/Morningside,St Lukes North,515432
Auckland ,Western Springs/Morningside,St Lukes,517600
Auckland ,Westmere/Surrey Crescent,Westmere,515100
Auckland ,Westmere/Surrey Crescent,Surrey Crescent,515431
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Darfield,586900
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Kirwee,587010
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Burnham Military Camp,587020
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Malvern,587100
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Prebbleton,587841
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,West Melton,587904
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Taitapu,587905
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Lyttelton,596400
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Diamond Harbour,596502
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Governors Bay,596503
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Quail Island,596504
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Port Levy,596600
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Akaroa,596800
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Okains Bay,596900
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Little River,597101
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Lincoln,597200
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Leeston,597300
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Southbridge,597400
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Rolleston,597502
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Dunsandel,597503
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Springston,597504
Banks Peninsula/Selwyn ,Banks Peninsula/Selwyn,Selwyn-Rakaia,597506
Buller ,Buller,Karamea,584402
Buller ,Buller,Hector-Ngakawau,584403
Buller ,Buller,Granity,584404
Buller ,Buller,Orowaiti,584405
Buller ,Buller,Little Wanganui,584407
Buller ,Buller,Mokihinui,584408
Buller ,Buller,Buller Coalfields,584409
Buller ,Buller,Westport Rural,584410
Buller ,Buller,Charleston,584411
Buller ,Buller,Inangahua Junction,584412
Buller ,Buller,Westport Urban,584500
Buller ,Buller,Reefton,584600
Buller ,Buller,Inangahua Valley,584701
Buller ,Buller,Mawheraiti,584702
Buller ,Buller,Maruia,584703
Carterton/South Wairarapa ,Carterton/South Wairarapa,Waingawa,579400
Carterton/South Wairarapa ,Carterton/South Wairarapa,Mt Holdsworth,579501
Carterton/South Wairarapa ,Carterton/South Wairarapa,Te Wharau,579502
Carterton/South Wairarapa ,Carterton/South Wairarapa,Carterton,579700
Carterton/South Wairarapa ,Carterton/South Wairarapa,Tuturumuri,579802
Carterton/South Wairarapa ,Carterton/South Wairarapa,Kahutara,579803
Carterton/South Wairarapa ,Carterton/South Wairarapa,Greytown,579900
Carterton/South Wairarapa ,Carterton/South Wairarapa,Featherston,580000
Carterton/South Wairarapa ,Carterton/South Wairarapa,Martinborough,580100
Central Hawkes Bay ,Central Hawkes Bay,Takapau,549000
Central Hawkes Bay ,Central Hawkes Bay,Waipawa,549100
Central Hawkes Bay ,Central Hawkes Bay,Tikokino,549200
Central Hawkes Bay ,Central Hawkes Bay,Otane,549400
Central Hawkes Bay ,Central Hawkes Bay,Waipukurau,549500
Central Hawkes Bay ,Central Hawkes Bay,Porangahau,549601
Central Hawkes Bay ,Central Hawkes Bay,Elsthorpe-Flemington,549602
Central Otago ,Central Otago,Teviot,607501
Central Otago ,Central Otago,Roxburgh,607800
Central Otago ,Central Otago,Ranfurly,607900
Central Otago ,Central Otago,Maniototo,608000
Central Otago ,Central Otago,Naseby,608100
Central Otago ,Central Otago,Dunstan,608302
Central Otago ,Central Otago,Clyde,608303
Central Otago ,Central Otago,Alexandra,608500
Central Otago ,Central Otago,Cromwell,608600
Christchurch ,Addington,Riccarton South,590900
Christchurch ,Addington,Addington,594700
Christchurch ,Aranui/Bromley/Bexley,Chisnall,593000
Christchurch ,Aranui/Bromley/Bexley,Aranui,593100
Christchurch ,Aranui/Bromley/Bexley,East Linwood,593700
Christchurch ,Aranui/Bromley/Bexley,Bexley,593800
Christchurch ,Aranui/Bromley/Bexley,Bromley,593900
Christchurch ,Avon Loop/Christchurch East,Avon Loop,591700
Christchurch ,Avonhead/Yaldhurst,Yaldhurst,587811
Christchurch ,Avonhead/Yaldhurst,Templeton,587820
Christchurch ,Avonhead/Yaldhurst,Hawthornden,589601
Christchurch ,Avonhead/Yaldhurst,Merrin,589602
Christchurch ,Avonhead/Yaldhurst,Masham,589800
Christchurch ,Avonhead/Yaldhurst,Avonhead,589900
Christchurch ,Bishopdale/Papanui,Bishopdale,588700
Christchurch ,Bishopdale/Papanui,Jellie Park,589100
Christchurch ,Bishopdale/Papanui,Papanui,591900
Christchurch ,Bishopdale/Papanui,Aorangi,592000
Christchurch ,Burnside/Harewood,Harewood,588600
Christchurch ,Burnside/Harewood,Russley,588800
Christchurch ,Burnside/Harewood,Burnside,588900
Christchurch ,Burnside/Harewood,Wairarapa,589000
Christchurch ,Burwood/Dallington/Avondale,Burwood,592811
Christchurch ,Burwood/Dallington/Avondale,Dallington,592812
Christchurch ,Burwood/Dallington/Avondale,Avondale,592900
Christchurch ,Christchurch Central/Hagley,Cathedral Square,591500
Christchurch ,Christchurch Central/Hagley,Hagley Park,591600
Christchurch ,Fendalton/Strowan/Bryndwr,Bryndwr,589200
Christchurch ,Fendalton/Strowan/Bryndwr,Holmwood,589300
Christchurch ,Fendalton/Strowan/Bryndwr,Fendalton,589400
Christchurch ,Fendalton/Strowan/Bryndwr,Deans Bush,589500
Christchurch ,Fendalton/Strowan/Bryndwr,Strowan,592100
Christchurch ,Halswell/Wigram,Oaklands,587301
Christchurch ,Halswell/Wigram,Halswell South,587302
Christchurch ,Halswell/Wigram,Wigram,587702
Christchurch ,Halswell/Wigram,Halswell West,587842
Christchurch ,Halswell/Wigram,Halswell East,587843
Christchurch ,Halswell/Wigram,Kennedys Bush,587903
Christchurch ,Hillmorton/Hoon Hay,Middleton,590300
Christchurch ,Hillmorton/Hoon Hay,Hoon Hay,595100
Christchurch ,Hillmorton/Hoon Hay,Hoon Hay South,595200
Christchurch ,Hillmorton/Hoon Hay,Hillmorton,595300
Christchurch ,Horby/Islington/Hei Hei,Hornby North,587400
Christchurch ,Horby/Islington/Hei Hei,Hornby South,587500
Christchurch ,Horby/Islington/Hei Hei,Broomfield,587812
Christchurch ,Horby/Islington/Hei Hei,Islington,587830
Christchurch ,Ilam/Westburn,Westburn,589700
Christchurch ,Ilam/Westburn,Ilam,590000
