orig,orig_name,dest,dest_name,duration,distance
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Couldry St, Eden Terrace, Auckland 1021, New Zealand",Eden Terrace,6531,30319
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Dreadon Rd, Manurewa, Auckland 2102, New Zealand",Manurewa North,825,3908
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Dunraven Pl, Torbay, Auckland 0630, New Zealand",Torbay,11201,50788
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"10-12 Westridge Rd, Titirangi, Auckland 0604, New Zealand",Titirangi,8680,37406
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"102-116 Church St, Otahuhu, Auckland 1062, New Zealand",Otahuhu,2952,14367
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"105 Victoria Ave, Remuera, Auckland 1050, New Zealand",Remuera,5214,24838
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"11 Bulwer St, Devonport, Auckland 0624, New Zealand",Devonport,7066,34035
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"111 Eugenia Rise, Goodwood Heights, Auckland 2105, New Zealand",Manukau Heights and Manurewa Heights,2071,8169
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"126 Symonds St, Eden Terrace, Auckland 1010, New Zealand",Newton/Grafton,5961,27298
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"13A Kesteven Ave, Glendowie, Auckland 1071, New Zealand",St Helliers/Glendowie,5362,26563
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"14-16 Kitchener Rd, Waiuku 2123, New Zealand",Waiuku,8327,40383
