orig,orig_name,dest,dest_name,duration,distance
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Couldry St, Eden Terrace, Auckland 1021, New Zealand",Eden Terrace,20208,26508
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Dreadon Rd, Manurewa, Auckland 2102, New Zealand",Manurewa North,2665,3524
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1 Dunraven Pl, Torbay, Auckland 0630, New Zealand",Torbay,35784,48832
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"10-12 Westridge Rd, Titirangi, Auckland 0604, New Zealand",Titirangi,26182,34268
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"102-116 Church St, Otahuhu, Auckland 1062, New Zealand",Otahuhu,10390,13767
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"105 Victoria Ave, Remuera, Auckland 1050, New Zealand",Remuera,18035,23739
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"11 Bulwer St, Devonport, Auckland 0624, New Zealand",Devonport,23262,32997
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"111 Eugenia Rise, Goodwood Heights, Auckland 2105, New Zealand",Manukau Heights and Manurewa Heights,5663,7218
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"12 Merriefield Ave, Forrest Hill, Auckland 0620, New Zealand",Sunnynook/Westlake,27978,38790
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"126 Symonds St, Eden Terrace, Auckland 1010, New Zealand",Newton/Grafton,20143,26444
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"13A Kesteven Ave, Glendowie, Auckland 1071, New Zealand",St Helliers/Glendowie,18861,24988
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"14-16 Kitchener Rd, Waiuku 2123, New Zealand",Waiuku,29674,40181
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"147 Triangle Rd, Massey, Auckland 0614, New Zealand",Massey/Royal Heights,29661,39780
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"15 Rawene Rd, Birkenhead, Auckland 0626, New Zealand",Chatswood/Birkenhead/Northcote Point,23715,33895
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"15-17 Hamilton Rd, Herne Bay, Auckland 1011, New Zealand",Herne Bay/St Marys,22561,29561
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"15-17 Manukau Station Rd, Manukau, Auckland 2104, New Zealand",Manukau Central,5553,7261
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"157 Oteha Valley Rd, Fairview Heights, Auckland 0632, New Zealand",Albany,33785,46202
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"15B Sandra Ave, Otara, Auckland 2023, New Zealand",Otara,7975,10520
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"161-169 Hobson St, Auckland, 1010, New Zealand",Central West,21145,27654
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"1664-1666 Great North Rd, Avondale, Auckland 1026, New Zealand",Waterview/Avondale Heights,22260,29729
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"17-19 Appleyard Cres, Meadowbank, Auckland 1072, New Zealand",Meadowbank,18059,23913
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"17-19 Winhall Rise, Remuera, Auckland 1050, New Zealand",Remuera South/Meadowbank South,17058,22533
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"174 Lennon Access Road, Stillwater 0993, New Zealand",Orewa/Whangaparaoa,45144,61342
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"18 Glenarm Ave, Mount Roskill, Auckland 1041, New Zealand",Mt Roskill/Wesley,18974,25337
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"18-20 Cebalo Pl, Mount Wellington, Auckland 1060, New Zealand",Mt Wellington,14808,19554
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"187-191 Manukau Rd, Pukekohe 2120, New Zealand",Pukekohe/Tuakau,20119,26722
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"19 Margan Ave, New Lynn, Auckland 0600, New Zealand",New Lynn,22979,30817
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"2 Eaton Rd, Hillsborough, Auckland 1042, New Zealand",Hillsborough,17346,23165
"1 Castlehill Ct, Wattle Downs, Auckland 2103, New Zealand",Wattle Downs/Conifer Grove,"2 John Downs Dr, Browns Bay, Auckland 0630, New Zealand",Browns Bay,33446,45902
