orig,orig_name,dest,dest_name,duration,distance
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,5198,20241
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,6535,27125
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,775,3162
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,13136,57833
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,1302,4590
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,1878,5599
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,7873,30325
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,1839,5240
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,6065,23970
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,5957,26215
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,23265,96335
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,853,3189
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,1808,5934
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,1034,3692
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"22 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,6745,27159
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,8072,36166
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"25 Stafford St, Mount Victoria, Wellington 6011, New Zealand",Mt Victoria/Roseneath,744,2580
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"26 Fraser Cres, Elderslea, Upper Hutt 5018, New Zealand",Trentham West/Eldersley/Clouston Park,8716,39613
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"27 Wakefield St, Alicetown, Lower Hutt 5010, New Zealand",Petone West/Alicetown,4136,16903
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"32 Carlisle St, Island Bay, Wellington 6023, New Zealand",Island Bay/Melrose,1566,5936
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"36 Wilford St, Woburn, Lower Hutt 5011, New Zealand",Hutt Central/Waterloo,5109,21917
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"4 Apuka St, Brooklyn, Wellington 6021, New Zealand",Brooklyn,1651,4796
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"4-22 Te Ore Ore Settlement Rd, Lansdowne, Te Ore Ore 5886, New Zealand",Masterton,28298,123433
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"4-6 Speldhurst Grove, Stokes Valley, Lower Hutt 5019, New Zealand",Stokes Valley,7254,32425
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"42 The Strand, Wainuiomata, Lower Hutt 5014, New Zealand",Wainuiomata,6830,26434
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"43 Cuba St, Petone, Lower Hutt 5012, New Zealand",Petone/Esplanade,4451,18465
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"47 Cashmere Ave, Khandallah, Wellington 6035, New Zealand",Khandallah,2819,9552
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"47-49 McHardie St, Trentham, Upper Hutt 5018, New Zealand",Trentham North/Wallaceville,8497,39166
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"470 Parkvale Road, Wilton, Wellington 6012, New Zealand",Karori South/Makara,3812,9900
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"5 Trelissick Cres, Ngaio, Wellington 6035, New Zealand",Ngaio/Kaiwharawhara/Wilton,2730,9181
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"519 Marine Dr, Sunshine Bay, Lower Hutt 5013, New Zealand",Eastern Bays,2844,15393
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"56-58 Helston Rd, Paparangi, Wellington 6037, New Zealand",Johnsonville/Newlands,3839,13612
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"7 Cargill St, Karori, Wellington 6012, New Zealand",Karori,2714,7864
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"7 Dyer St, Epuni, Lower Hutt 5011, New Zealand",Epuni/Avalon,5751,24981
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"72 Endeavour St, Lyall Bay, Wellington 6022, New Zealand",Kilbirnie/Lyall Bay,519,2382
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"80-82 Bell Rd, Waiwhetu, Lower Hutt 5010, New Zealand",Moera/Waiwhetu,4946,20982
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"84 Te Hapua Rd, Waikanae Beach, Te Horo 5581, New Zealand",Waikanae/Otaki,15619,70699
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"85 Northland Rd, Northland, Wellington 6012, New Zealand",Northland,2330,7033
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"91 Emerald Hill Dr, Birchville, Upper Hutt 5018, New Zealand",Totara Park/Maoribank/Te Marua,10270,46361
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"93-95 Ira St, Miramar, Wellington 6022, New Zealand",Miramar/Strathmore,894,3981
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"99 Boulcott St, Wellington, 6011, New Zealand",Lambton,1127,4153
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"Ara Harakeke Way, Plimmerton, Porirua 5026, New Zealand",Paramata/Mana/Pukerua Bay,7661,32542
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,5289,20380
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,1479,7467
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,4605,17640
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,8079,38175
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,6363,24567
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,6309,21942
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,2817,10668
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,5223,18322
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,6645,25000
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,6538,27245
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,23845,97365
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,5002,18858
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,4318,15333
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,5418,20732
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"22 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,1689,7501
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,8652,37196
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"25 Stafford St, Mount Victoria, Wellington 6011, New Zealand",Mt Victoria/Roseneath,4956,18527
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"26 Fraser Cres, Elderslea, Upper Hutt 5018, New Zealand",Trentham West/Eldersley/Clouston Park,9297,40643
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"27 Wakefield St, Alicetown, Lower Hutt 5010, New Zealand",Petone West/Alicetown,4717,17933
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"32 Carlisle St, Island Bay, Wellington 6023, New Zealand",Island Bay/Melrose,6047,23988
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"36 Wilford St, Woburn, Lower Hutt 5011, New Zealand",Hutt Central/Waterloo,5690,22947
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"4 Apuka St, Brooklyn, Wellington 6021, New Zealand",Brooklyn,5514,19324
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"4-22 Te Ore Ore Settlement Rd, Lansdowne, Te Ore Ore 5886, New Zealand",Masterton,28878,124463
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"4-6 Speldhurst Grove, Stokes Valley, Lower Hutt 5019, New Zealand",Stokes Valley,7835,33455
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"42 The Strand, Wainuiomata, Lower Hutt 5014, New Zealand",Wainuiomata,7411,27463
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"43 Cuba St, Petone, Lower Hutt 5012, New Zealand",Petone/Esplanade,5031,19495
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"47 Cashmere Ave, Khandallah, Wellington 6035, New Zealand",Khandallah,2890,10402
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"47-49 McHardie St, Trentham, Upper Hutt 5018, New Zealand",Trentham North/Wallaceville,9078,40196
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"470 Parkvale Road, Wilton, Wellington 6012, New Zealand",Karori South/Makara,5261,16477
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"5 Trelissick Cres, Ngaio, Wellington 6035, New Zealand",Ngaio/Kaiwharawhara/Wilton,3528,13093
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"519 Marine Dr, Sunshine Bay, Lower Hutt 5013, New Zealand",Eastern Bays,6688,25883
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"56-58 Helston Rd, Paparangi, Wellington 6037, New Zealand",Johnsonville/Newlands,2181,7645
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"7 Cargill St, Karori, Wellington 6012, New Zealand",Karori,5975,21086
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"7 Dyer St, Epuni, Lower Hutt 5011, New Zealand",Epuni/Avalon,6332,26011
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"72 Endeavour St, Lyall Bay, Wellington 6022, New Zealand",Kilbirnie/Lyall Bay,5580,22359
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"80-82 Bell Rd, Waiwhetu, Lower Hutt 5010, New Zealand",Moera/Waiwhetu,5526,22012
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"84 Te Hapua Rd, Waikanae Beach, Te Horo 5581, New Zealand",Waikanae/Otaki,10562,51041
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"85 Northland Rd, Northland, Wellington 6012, New Zealand",Northland,5399,18697
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"91 Emerald Hill Dr, Birchville, Upper Hutt 5018, New Zealand",Totara Park/Maoribank/Te Marua,10851,47391
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"93-95 Ira St, Miramar, Wellington 6022, New Zealand",Miramar/Strathmore,5954,23958
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"99 Boulcott St, Wellington, 6011, New Zealand",Lambton,4517,16829
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"Ara Harakeke Way, Plimmerton, Porirua 5026, New Zealand",Paramata/Mana/Pukerua Bay,2604,12884
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,6606,27267
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,1458,7470
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,5921,24526
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,7605,35590
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,7679,31454
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,7626,28828
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,2342,8083
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,6539,25209
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,7962,31886
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,7854,34131
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,25162,104251
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,6319,25744
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,5634,22220
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,6735,27618
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"22 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,1363,5825
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,9969,44082
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"25 Stafford St, Mount Victoria, Wellington 6011, New Zealand",Mt Victoria/Roseneath,6273,25414
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"26 Fraser Cres, Elderslea, Upper Hutt 5018, New Zealand",Trentham West/Eldersley/Clouston Park,10613,47529
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"27 Wakefield St, Alicetown, Lower Hutt 5010, New Zealand",Petone West/Alicetown,6034,24820
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"32 Carlisle St, Island Bay, Wellington 6023, New Zealand",Island Bay/Melrose,7363,30874
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"36 Wilford St, Woburn, Lower Hutt 5011, New Zealand",Hutt Central/Waterloo,7006,29833
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"4 Apuka St, Brooklyn, Wellington 6021, New Zealand",Brooklyn,6831,26211
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"4-22 Te Ore Ore Settlement Rd, Lansdowne, Te Ore Ore 5886, New Zealand",Masterton,30195,131349
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"4-6 Speldhurst Grove, Stokes Valley, Lower Hutt 5019, New Zealand",Stokes Valley,9151,40341
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"42 The Strand, Wainuiomata, Lower Hutt 5014, New Zealand",Wainuiomata,8727,34350
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"43 Cuba St, Petone, Lower Hutt 5012, New Zealand",Petone/Esplanade,6348,26382
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"47 Cashmere Ave, Khandallah, Wellington 6035, New Zealand",Khandallah,4207,17288
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"47-49 McHardie St, Trentham, Upper Hutt 5018, New Zealand",Trentham North/Wallaceville,10394,47083
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"470 Parkvale Road, Wilton, Wellington 6012, New Zealand",Karori South/Makara,6578,23363
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"5 Trelissick Cres, Ngaio, Wellington 6035, New Zealand",Ngaio/Kaiwharawhara/Wilton,4845,19980
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"519 Marine Dr, Sunshine Bay, Lower Hutt 5013, New Zealand",Eastern Bays,8004,32769
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"56-58 Helston Rd, Paparangi, Wellington 6037, New Zealand",Johnsonville/Newlands,3497,14531
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"7 Cargill St, Karori, Wellington 6012, New Zealand",Karori,7292,27972
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"7 Dyer St, Epuni, Lower Hutt 5011, New Zealand",Epuni/Avalon,7649,32897
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"72 Endeavour St, Lyall Bay, Wellington 6022, New Zealand",Kilbirnie/Lyall Bay,6896,29245
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"80-82 Bell Rd, Waiwhetu, Lower Hutt 5010, New Zealand",Moera/Waiwhetu,6843,28898
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"84 Te Hapua Rd, Waikanae Beach, Te Horo 5581, New Zealand",Waikanae/Otaki,10088,48457
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"85 Northland Rd, Northland, Wellington 6012, New Zealand",Northland,6715,25584
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"91 Emerald Hill Dr, Birchville, Upper Hutt 5018, New Zealand",Totara Park/Maoribank/Te Marua,12168,54277
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"93-95 Ira St, Miramar, Wellington 6022, New Zealand",Miramar/Strathmore,7271,30845
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"99 Boulcott St, Wellington, 6011, New Zealand",Lambton,5834,23715
"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,"Ara Harakeke Way, Plimmerton, Porirua 5026, New Zealand",Paramata/Mana/Pukerua Bay,2130,10299
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,866,2915
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,4571,17656
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,5909,24539
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,12509,55248
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,1939,7102
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,1899,4852
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,7246,27740
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,1117,2119
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,5438,21385
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,5330,23630
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,22638,93750
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,498,1480
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,1154,3435
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,1000,2900
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"22 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,6118,24573
"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,7445,33581
