orig,orig_name,dest,dest_name,duration,distance
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,1462,20265
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,1617,26619
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,535,2910
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,3044,55817
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,608,4963
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,728,5141
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,1867,31397
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,783,4483
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,1368,20616
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"17 Shropshire Ave, Wilton, Wellington 6012, New Zealand",Karori South/Makara,1040,8059
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,1720,25185
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"184 Glenmorven Rd, Morrisons Bush 5794, New Zealand",Carterton/South Wairarapa,4640,84095
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"19 Finlay Terrace, Mount Cook, Wellington 6021, New Zealand",Mt Cook,541,3201
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"2 Wadestown Rd, Thorndon, Wellington 6011, New Zealand",Wadestown/Thordon,752,6132
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"21 Trevor Terrace, Newtown, Wellington 6021, New Zealand",Vogeltown/Berhampore/Newtown,509,2806
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"22 Worcester Pl, Cannons Creek, Porirua 5024, New Zealand",Porirua East/Waitangirua,1608,26010
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"24 Pinehill Cres, Trentham, Upper Hutt 5018, New Zealand",Heretaunga/Silverstream,2074,32613
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"25 Stafford St, Mount Victoria, Wellington 6011, New Zealand",Mt Victoria/Roseneath,648,3384
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"26 Fraser Cres, Elderslea, Upper Hutt 5018, New Zealand",Trentham West/Eldersley/Clouston Park,2127,36962
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"27 Wakefield St, Alicetown, Lower Hutt 5010, New Zealand",Petone West/Alicetown,1153,17491
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"32 Carlisle St, Island Bay, Wellington 6023, New Zealand",Island Bay/Melrose,696,5058
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"36 Wilford St, Woburn, Lower Hutt 5011, New Zealand",Hutt Central/Waterloo,1506,21160
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"4 Apuka St, Brooklyn, Wellington 6021, New Zealand",Brooklyn,672,4213
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"4-22 Te Ore Ore Settlement Rd, Lansdowne, Te Ore Ore 5886, New Zealand",Masterton,6324,107926
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"4-6 Speldhurst Grove, Stokes Valley, Lower Hutt 5019, New Zealand",Stokes Valley,1997,29552
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"42 The Strand, Wainuiomata, Lower Hutt 5014, New Zealand",Wainuiomata,1924,26779
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"43 Cuba St, Petone, Lower Hutt 5012, New Zealand",Petone/Esplanade,1258,17200
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"47 Cashmere Ave, Khandallah, Wellington 6035, New Zealand",Khandallah,1261,11006
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"47-49 McHardie St, Trentham, Upper Hutt 5018, New Zealand",Trentham North/Wallaceville,2152,36434
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"5 Trelissick Cres, Ngaio, Wellington 6035, New Zealand",Ngaio/Kaiwharawhara/Wilton,1122,9438
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"519 Marine Dr, Sunshine Bay, Lower Hutt 5013, New Zealand",Eastern Bays,1802,24492
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"56-58 Helston Rd, Paparangi, Wellington 6037, New Zealand",Johnsonville/Newlands,1102,13917
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"7 Cargill St, Karori, Wellington 6012, New Zealand",Karori,1049,7945
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"7 Dyer St, Epuni, Lower Hutt 5011, New Zealand",Epuni/Avalon,1520,21940
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"72 Endeavour St, Lyall Bay, Wellington 6022, New Zealand",Kilbirnie/Lyall Bay,380,2970
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"80-82 Bell Rd, Waiwhetu, Lower Hutt 5010, New Zealand",Moera/Waiwhetu,1487,20641
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"84 Te Hapua Rd, Waikanae Beach, Te Horo 5581, New Zealand",Waikanae/Otaki,3455,68781
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"85 Northland Rd, Northland, Wellington 6012, New Zealand",Northland,937,7298
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"91 Emerald Hill Dr, Birchville, Upper Hutt 5018, New Zealand",Totara Park/Maoribank/Te Marua,2434,41955
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"93-95 Ira St, Miramar, Wellington 6022, New Zealand",Miramar/Strathmore,440,3531
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"99 Boulcott St, Wellington, 6011, New Zealand",Lambton,759,4461
"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,"State Hwy, Plimmerton, Porirua 5026, New Zealand",Paramata/Mana/Pukerua Bay,1772,31043
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"1 Hamilton Rd, Hataitai, Wellington 6021, New Zealand",Hataitai,2501,20521
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"105-107 Te Pene Ave, Titahi Bay, Porirua 5022, New Zealand",Titahi Bay/Onepoto/Elsdon,684,7258
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"11 Ghuznee St, Te Aro, Wellington 6011, New Zealand",Te Aro,2199,18290
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"11-15 Datum Way, Paraparaumu 5032, New Zealand",Paraparaumu/Raumati,2222,37283
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"125 Seatoun Heights Rd, Seatoun, Wellington 6022, New Zealand",Oriental Bay/Seatoun,2932,25154
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"13 Camrose Grove, Kingston, Wellington 6021, New Zealand",Kingston/Happy Valley,2577,22123
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"13 The Sounding, Whitby, Porirua 5024, New Zealand",Papakowhai/Whitby/Pauatahanui,1047,12863
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"133-135 Kelburn Parade, Kelburn, Wellington 6012, New Zealand",Kelburn/Aro Valley,2106,18451
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"151-153 Tirohanga Rd, Tirohanga, Lower Hutt 5010, New Zealand",Western Hills/Haywards,1874,21606
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"17 Shropshire Ave, Wilton, Wellington 6012, New Zealand",Karori South/Makara,1935,15925
"1 Melville St, Tawa, Wellington 5028, New Zealand",Tawa/Grenada North,"18-20 Kowhai St, Naenae, Lower Hutt 5011, New Zealand",Taita/Naenae,2225,26176
